index,D_PM10K,N_PM10K,O_PM10K,S_PM10K,W_PM10K
2018-01-01,81.6625,30.354166666666668,40.75833333333333,104.26666666666667,80.06666666666666
2018-01-02,23.8125,20.654166666666665,20.416666666666668,27.84583333333333,22.204166666666666
2018-01-03,27.104166666666668,19.2,24.1125,32.71666666666667,19.308333333333334
2018-01-04,32.27916666666666,21.954166666666666,36.15833333333333,40.1875,27.208333333333332
2018-01-05,49.60833333333333,27.400000000000002,33.57083333333333,58.81666666666666,34.949999999999996
2018-01-06,17.758333333333333,12.5,15.775,20.120833333333334,17.462500000000002
2018-01-07,18.787499999999998,14.295833333333334,15.470833333333333,16.795833333333334,16.579166666666666
2018-01-08,29.65833333333333,24.808333333333334,27.860000000000003,30.787499999999998,27.004166666666666
2018-01-09,25.21666666666667,24.504166666666666,20.494999999999997,23.5125,25.758333333333336
2018-01-10,18.474999999999998,17.229166666666668,15.904166666666667,18.095833333333335,17.25
2018-01-11,21.46666666666667,17.2625,36.71666666666666,23.066666666666666,20.408333333333335
2018-01-12,31.4375,24.337500000000002,32.06666666666667,32.50416666666667,24.4875
2018-01-13,16.666666666666668,16.391666666666666,16.787499999999998,15.579166666666666,17.066666666666666
2018-01-14,13.291666666666666,13.012500000000001,12.954166666666666,13.279166666666667,14.891666666666666
2018-01-15,18.083333333333332,18.620833333333334,17.654166666666665,17.191666666666666,20.349999999999998
2018-01-16,39.295833333333334,35.612500000000004,37.47083333333333,41.34166666666667,36.37083333333333
2018-01-17,19.662499999999998,13.008333333333333,32.14090909090909,19.458333333333332,15.445833333333333
2018-01-18,24.53333333333333,17.491666666666667,51.1875,22.224999999999998,18.283333333333335
2018-01-19,24.629166666666666,13.770833333333334,26.718181818181815,26.041666666666668,19.041666666666668
2018-01-20,31.379166666666666,23.254166666666666,40.72222222222222,35.94583333333333,25.9875
2018-01-21,23.733333333333334,18.266666666666666,22.354166666666668,23.9875,19.658333333333335
2018-01-22,27.704166666666666,17.0125,36.154545454545456,26.075,20.820833333333333
2018-01-23,54.55833333333334,39.1,63.12083333333334,58.54583333333333,41.225
2018-01-24,48.46666666666667,34.833333333333336,53.145833333333336,62.4,37.949999999999996
2018-01-25,50.362500000000004,38.94166666666667,44.612500000000004,59.56666666666666,42.59583333333333
2018-01-26,69.04583333333333,54.525,59.55833333333334,73.77916666666667,57.67083333333333
2018-01-27,29.47083333333333,28.65833333333333,26.983333333333334,26.329166666666666,33.3375
2018-01-28,28.316666666666666,33.37083333333333,28.204545454545453,26.125,31.02916666666667
2018-01-29,56.887499999999996,41.65416666666667,59.25909090909091,53.94166666666666,53.82916666666667
2018-01-30,38.40416666666667,21.108333333333334,34.895833333333336,40.12083333333333,27.3625
2018-01-31,39.34166666666667,23.59583333333333,37.483333333333334,32.52916666666667,26.2625
2018-02-01,33.82083333333333,20.912499999999998,32.04210526315789,32.079166666666666,21.900000000000002
2018-02-02,13.291666666666666,11.895833333333334,13.466666666666667,12.079166666666666,11.629166666666668
2018-02-03,19.916666666666668,19.8875,20.9375,21.333333333333332,20.020833333333332
2018-02-04,23.670833333333334,15.941666666666668,24.1875,23.666666666666668,20.166666666666668
2018-02-05,29.125,22.099999999999998,40.800000000000004,28.766666666666666,26.03333333333333
2018-02-06,41.3375,35.80416666666667,53.375,36.9625,37.1
2018-02-07,33.512499999999996,32.675000000000004,34.145833333333336,34.954166666666666,34.81666666666667
2018-02-08,28.3875,21.491666666666664,31.30454545454546,29.52916666666667,25.104166666666668
2018-02-09,50.57916666666667,47.37083333333334,49.65416666666667,49.958333333333336,50.63333333333333
2018-02-10,72.7375,72.7,74.82916666666667,72.96249999999999,75.74166666666666
2018-02-11,46.67916666666667,42.5875,52.84166666666667,46.44583333333333,44.512499999999996
2018-02-12,34.2125,24.787499999999998,29.879166666666666,36.28333333333333,31.087500000000002
2018-02-13,21.579166666666666,10.566666666666666,30.787499999999998,17.645833333333332,11.645833333333334
2018-02-14,34.59166666666667,17.3625,42.76666666666667,29.287499999999998,22.695833333333336
2018-02-15,53.90833333333333,40.954166666666666,56.61666666666667,51.96666666666667,44.925000000000004
2018-02-16,62.975,54.8375,66.3,57.55833333333334,57.854166666666664
2018-02-17,48.35,38.545833333333334,54.62083333333334,50.387499999999996,44.51666666666667
2018-02-18,30.016666666666666,28.30416666666667,29.758333333333336,29.458333333333332,28.691666666666666
2018-02-19,32.68571428571428,25.1875,32.67916666666667,26.67391304347826,26.79090909090909
2018-02-20,22.1875,20.033333333333335,20.495833333333334,23.070833333333336,21.141666666666666
2018-02-21,37.7875,27.420833333333334,38.358333333333334,38.324999999999996,34.84583333333333
2018-02-22,34.579166666666666,28.383333333333336,32.8375,35.329166666666666,32.0375
2018-02-23,29.608333333333334,28.787499999999998,29.820833333333336,30.325,29.0125
2018-02-24,40.050000000000004,40.86666666666667,41.75833333333333,40.57083333333333,41.675000000000004
2018-02-25,27.125,23.22083333333333,28.695833333333336,25.224999999999998,23.620833333333334
2018-02-26,41.300000000000004,32.875,37.42916666666667,40.69583333333333,36.81666666666667
2018-02-27,28.991666666666664,27.8,31.645833333333332,31.1125,29.587500000000002
2018-02-28,54.25,42.95416666666667,63.541666666666664,56.4,44.00416666666666
2018-03-01,82.73333333333333,65.16250000000001,86.66250000000001,81.9875,70.1875
2018-03-02,105.325,96.61666666666667,109.45416666666667,97.39999999999999,97.1125
2018-03-03,72.89583333333333,67.92916666666666,76.47083333333333,74.44166666666666,69.08333333333333
2018-03-04,66.94166666666666,64.27916666666667,71.95833333333333,64.91666666666667,65.00416666666666
