time,Temperature_Air_2m_Mean_24h,Cloud_Cover_Mean,Wind_Speed_10m_Mean,Dew_Point_Temperature_2m_Mean,Vapour_Pressure_Mean
2018-03-21,274.07785,0.5868234,3.8949337,266.99554,4.0481815
2018-03-22,273.63336,0.6368243,3.5236607,265.85114,3.733947
2018-03-23,275.2634,0.8260907,2.4559178,270.58386,5.2610593
2018-03-24,277.02365,0.6951358,2.5947351,271.5277,5.5730724
2018-03-25,276.71945,0.6930791,1.8695914,271.1677,5.43019
2018-03-26,278.86682,0.70255345,1.8122202,273.57117,6.428094
2018-03-27,279.7812,0.63452333,1.2839962,275.25677,7.189792
2018-03-28,281.85092,0.8174136,1.8838571,276.69073,7.929245
2018-03-29,283.87747,0.8577685,2.188704,279.80402,9.754569
2018-03-30,284.37106,0.85499054,1.9645724,281.33386,10.742533
2018-03-31,282.2919,0.88425696,2.4369106,281.40402,10.815975
2018-04-01,282.7904,0.6974746,2.5946162,276.68643,7.9593525
2018-04-02,284.1834,0.3016834,2.4881978,274.8814,7.0685725
2018-04-03,286.7273,0.80878615,4.3927135,276.90134,8.036655
2018-04-04,286.38416,0.82707095,3.7664187,278.96875,9.224441
2018-04-05,285.137,0.79224885,1.894302,281.8943,11.146806
2018-04-06,283.04364,0.17946643,2.7288585,274.91794,7.057569
2018-04-07,282.41513,0.41136557,2.10254,277.25748,8.264221
2018-04-08,285.44254,0.10377432,1.5841489,279.7231,9.708095
2018-04-09,287.14,0.5682443,2.1048033,280.6949,10.340567
2018-04-10,286.24097,0.6663115,3.0676134,280.57327,10.314605
2018-04-11,287.15045,0.53064424,1.7440941,280.81396,10.41787
2018-04-12,286.54126,0.81964153,1.4905577,283.7164,12.567513
2018-04-13,286.6336,0.3501158,3.4441206,280.1814,10.068747
2018-04-14,287.7945,0.6824671,1.964405,280.81445,10.468872
2018-04-15,288.9358,0.9530078,1.8474461,285.18896,13.842542
2018-04-16,289.69547,0.77942014,1.7501062,286.71478,15.141024
2018-04-17,287.81934,0.72912544,2.5272915,284.48187,13.215086
2018-04-18,288.14856,0.43417937,3.224516,281.04678,10.594669
2018-04-19,289.15445,0.07286685,1.9998453,281.65854,11.034558
2018-04-20,290.20422,0.040650886,2.275264,283.34415,12.303218
2018-04-21,289.62405,0.051617183,1.6489689,281.303,10.80472
2018-04-22,291.22983,0.05543666,2.297146,282.01245,11.355304
2018-04-23,291.69907,0.3432702,2.1318946,283.1316,12.205115
2018-04-24,290.65497,0.43662506,1.6323678,285.39658,14.018135
