index,DonBosco_Temp,DonBosco_RH,Nord_Temp,Nord_RH,Nord_Pressure,Nord_Precip,Nord_Radiation,Ost_Temp,Ost_RH,Ost_Pressure,Sud_Temp,Sud_RH,West_Temp,West_RH
2018-11-08,10.954166666666666,90.41666666666667,10.987499999999999,88.29166666666667,980.6791666666667,0.0,98.10833333333333,10.737499999999999,99.91666666666667,976.725,11.008333333333333,90.625,11.079166666666666,90.20833333333333
2018-11-09,11.362499999999999,88.70833333333333,11.658333333333333,85.41666666666667,979.4291666666667,0.0,37.7,11.358333333333333,99.875,975.5500000000001,11.424999999999999,88.0,11.470833333333333,88.0
2018-11-10,10.166666666666666,89.29166666666667,10.183333333333334,87.66666666666667,975.1208333333334,0.0,44.92916666666667,10.316666666666666,98.625,971.1208333333334,10.070833333333333,88.16666666666667,10.195833333333333,89.16666666666667
2018-11-11,10.470833333333333,80.16666666666667,10.3125,79.29166666666667,976.7291666666666,0.0,115.33749999999999,10.141666666666667,92.75,972.6999999999999,9.741666666666667,81.58333333333333,10.3375,82.0
2018-11-12,10.516666666666667,84.125,10.233333333333333,82.0,981.6750000000001,0.0,106.70833333333333,10.204166666666667,96.54166666666667,977.5916666666667,9.6875,84.95833333333333,10.237499999999999,84.75
2018-11-13,9.416666666666666,90.45833333333333,9.716666666666667,86.66666666666667,984.6083333333332,0.0,70.91666666666667,9.333333333333334,99.79166666666667,980.75,8.745833333333334,90.5,9.408333333333333,90.66666666666667
2018-11-14,8.616666666666667,92.375,8.420833333333333,88.66666666666667,989.9166666666666,0.0,66.22083333333333,8.804166666666667,99.95833333333333,986.1208333333334,8.783333333333333,93.16666666666667,8.595833333333333,91.25
2018-11-15,8.516666666666667,80.29166666666667,8.283333333333333,79.16666666666667,988.5375,0.0,37.05416666666667,8.558333333333334,93.45833333333333,984.7208333333333,8.375,80.16666666666667,8.6,79.16666666666667
2018-11-16,6.845833333333334,71.83333333333333,6.55,71.5,990.1708333333332,0.0,99.17083333333333,6.491666666666667,88.41666666666667,986.3458333333333,6.533333333333334,73.16666666666667,7.033333333333334,70.54166666666667
2018-11-17,3.9916666666666667,68.41666666666667,3.5124999999999997,69.54166666666667,990.3041666666667,0.0,71.94583333333334,3.533333333333333,79.5,986.4083333333333,3.845833333333333,67.625,4.2,68.0
2018-11-18,3.15,74.41666666666667,2.9791666666666665,71.70833333333333,983.9166666666666,0.024999999999999998,27.650000000000002,2.7624999999999997,86.83333333333333,979.8166666666666,3.2291666666666665,71.875,3.3874999999999997,73.91666666666667
2018-11-19,0.9916666666666667,96.04166666666667,1.2208333333333334,93.45833333333333,975.5041666666666,0.11,13.75,0.9541666666666666,100.0,971.2958333333332,1.0666666666666667,94.625,1.1791666666666667,97.04166666666667
2018-11-20,1.3125,95.625,1.55,93.375,973.4333333333334,0.11625,21.95,1.1958333333333333,100.0,969.2375000000001,1.3499999999999999,95.41666666666667,1.5916666666666668,96.16666666666667
2018-11-21,3.341666666666667,92.04166666666667,3.625,88.04166666666667,975.7833333333333,0.0020833333333333333,39.512499999999996,3.183333333333333,100.0,971.625,3.345833333333333,92.91666666666667,3.5625,91.25
2018-11-22,4.5874999999999995,95.5,4.766666666666667,94.33333333333333,980.7041666666668,0.02291666666666667,11.220833333333333,4.470833333333333,100.0,976.6083333333332,4.666666666666667,94.45833333333333,4.7124999999999995,96.25
2018-11-23,5.445833333333333,93.54166666666667,5.604166666666667,90.45833333333333,982.9625,0.007916666666666667,13.533333333333333,5.304166666666666,100.0,978.9625,5.491666666666667,92.70833333333333,5.5249999999999995,94.04166666666667
2018-11-24,5.283333333333333,96.95833333333333,5.608333333333333,94.875,977.1125000000001,0.0,17.416666666666668,5.233333333333333,100.0,973.0375,5.441666666666666,95.75,5.4750000000000005,98.16666666666667
2018-11-25,6.5249999999999995,95.79166666666667,6.75,93.54166666666667,971.2208333333333,0.15208333333333332,19.849999999999998,6.454166666666667,100.0,967.0416666666666,6.570833333333333,96.20833333333333,6.708333333333333,95.95833333333333
2018-11-26,5.533333333333334,88.83333333333333,5.579166666666667,89.0,963.0208333333334,0.4391666666666667,18.89166666666667,5.254166666666666,100.0,958.7333333333332,5.470833333333334,92.0,5.741666666666667,88.58333333333333
2018-11-27,3.6458333333333335,84.83333333333333,4.254166666666666,76.70833333333333,971.4333333333334,0.037083333333333336,26.504166666666666,3.2541666666666664,98.95833333333333,967.3125,3.545833333333333,87.41666666666667,4.1499999999999995,79.875
2018-11-28,1.8625,69.33333333333333,2.220833333333333,64.04166666666667,983.6333333333333,0.0,84.07916666666667,1.0125,94.66666666666667,979.6333333333333,1.4583333333333333,77.75,2.2041666666666666,66.83333333333333
2018-11-29,-0.19583333333333333,74.25,0.25,65.95833333333333,989.4708333333333,0.0,40.14166666666667,-0.35000000000000003,89.79166666666667,985.5333333333333,-0.1875,76.29166666666667,0.11666666666666668,72.125
2018-11-30,-3.0208333333333335,88.875,-2.5,82.83333333333333,983.8416666666667,0.0,37.391666666666666,-3.15,98.79166666666667,979.6541666666667,-3.0625,86.95833333333333,-2.6625,87.58333333333333
