index,D_PM10K_mean,DonBosco_Temp_mean,DonBosco_RH_mean,N_PM10K_mean,Nord_Temp_mean,Nord_RH_mean,Nord_Pressure_mean,Nord_Precip_mean,Nord_Radiation_mean,Nord_Winddirection_mean,Nord_Windspeed_mean,Nord_peek_wind_speed_mean,O_PM10K_mean,Ost_Temp_mean,Ost_RH_mean,Ost_Pressure_mean,Ost_Winddirection_mean,Ost_Windspeed_mean,Ost_peek_wind_speed_mean,S_PM10K_mean,Sud_Temp_mean,Sud_RH_mean,Sud_Winddirection_mean,Sud_Windspeed_mean,Sud_peek_wind_speed_mean,W_PM10K_mean,West_Temp_mean,West_RH_mean,West_Winddirection_mean,West_Windspeed_mean,West_peek_wind_speed_mean,DonBosco_Temp_min,DonBosco_RH_min,Nord_Temp_min,Nord_RH_min,Nord_Pressure_min,Nord_Precip_min,Nord_Radiation_min,Nord_Winddirection_min,Nord_Windspeed_min,Nord_peek_wind_speed_min,Ost_Temp_min,Ost_RH_min,Ost_Pressure_min,Ost_Winddirection_min,Ost_Windspeed_min,Ost_peek_wind_speed_min,Sud_Temp_min,Sud_RH_min,Sud_Winddirection_min,Sud_Windspeed_min,Sud_peek_wind_speed_min,West_Temp_min,West_RH_min,West_Winddirection_min,West_Windspeed_min,West_peek_wind_speed_min,DonBosco_Temp_max,DonBosco_RH_max,Nord_Temp_max,Nord_RH_max,Nord_Pressure_max,Nord_Precip_max,Nord_Radiation_max,Nord_Winddirection_max,Nord_Windspeed_max,Nord_peek_wind_speed_max,Ost_Temp_max,Ost_RH_max,Ost_Pressure_max,Ost_Winddirection_max,Ost_Windspeed_max,Ost_peek_wind_speed_max,Sud_Temp_max,Sud_RH_max,Sud_Winddirection_max,Sud_Windspeed_max,Sud_peek_wind_speed_max,West_Temp_max,West_RH_max,West_Winddirection_max,West_Windspeed_max,West_peek_wind_speed_max,year,dayofyear,month_Apr,month_Aug,month_Dec,month_Feb,month_Jan,month_Jul,month_Jun,month_Mar,month_May,month_Nov,month_Oct,month_Sep,weekday_Friday,weekday_Monday,weekday_Saturday,weekday_Sunday,weekday_Thursday,weekday_Tuesday,weekday_Wednesday,season_fall,season_spring,season_summer,season_winter,holiday,holiday_school
2018-01-11,21.46666666666667,4.304166666666666,89.95833333333333,17.2625,4.433333333333334,89.79166666666667,975.2208333333333,0.0,15.845833333333333,230.125,0.3416666666666666,1.1500000000000001,36.71666666666666,4.408333333333333,84.5,971.1625,185.58333333333334,0.5083333333333333,1.5791666666666666,23.066666666666666,4.179166666666666,90.95833333333333,166.70833333333334,0.33749999999999997,1.1624999999999999,20.408333333333335,4.420833333333333,87.58333333333333,187.04166666666666,0.2916666666666667,1.1416666666666668,3.2,82.0,2.5,81.0,973.1,0.0,2.2,7.0,0.1,0.5,3.0,74.0,969.1,49.0,0.1,0.7,2.8,82.0,66.0,0.1,0.1,3.1,79.0,11.0,0.1,0.4,5.0,95.0,5.3,94.0,978.2,0.0,63.2,354.0,1.1,2.3,5.2,94.0,974.0,352.0,0.8,2.3,5.1,98.0,297.0,0.9,2.3,5.1,94.0,342.0,0.6,2.2,2018,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2018-01-12,31.4375,3.6125000000000003,87.33333333333333,24.337500000000002,3.8166666666666664,84.41666666666667,981.6625,0.004166666666666667,58.4375,204.83333333333334,0.6916666666666668,2.0,32.06666666666667,3.7375000000000003,80.83333333333333,977.6291666666666,198.0,0.4916666666666667,1.6291666666666667,32.50416666666667,3.2708333333333335,89.95833333333333,194.625,0.2833333333333333,0.9916666666666667,24.4875,4.270833333333333,78.875,199.25,0.4041666666666666,1.6916666666666667,1.0,72.0,1.4,66.0,978.6,0.0,2.1,3.0,0.1,0.3,1.4,71.0,974.5,16.0,0.2,0.8,0.1,75.0,102.0,0.1,0.2,1.6,59.0,6.0,0.1,0.5,6.3,95.0,6.5,96.0,985.0,0.05,316.8,358.0,1.2,3.1,6.2,93.0,981.2,347.0,0.9,2.3,6.4,98.0,297.0,0.7,2.4,6.6,94.0,341.0,1.0,4.5,2018,12,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2018-01-13,16.666666666666668,2.5500000000000003,93.33333333333333,16.391666666666666,2.7624999999999997,93.29166666666667,984.8458333333333,0.06041666666666667,11.1625,142.45833333333334,0.39166666666666666,1.2916666666666667,16.787499999999998,2.5,89.79166666666667,980.9791666666666,125.08333333333333,0.6375000000000001,1.6333333333333335,15.579166666666666,2.6666666666666665,94.625,113.58333333333333,0.39999999999999997,1.2625,17.066666666666666,2.7541666666666664,92.45833333333333,150.0,0.43333333333333335,1.5583333333333333,0.7,91.0,1.1,88.0,984.4,0.0,2.6,54.0,0.1,0.5,0.9,86.0,980.5,72.0,0.2,1.0,0.8,90.0,54.0,0.1,0.2,0.9,87.0,2.0,0.2,0.9,4.1,95.0,4.3,95.0,985.4,0.3,67.8,277.0,0.9,1.9,4.0,93.0,981.5,261.0,1.0,2.3,4.1,98.0,202.0,0.8,2.0,4.3,95.0,225.0,0.9,2.2,2018,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2018-01-14,13.291666666666666,-0.31666666666666665,93.58333333333333,13.012500000000001,-0.06666666666666667,92.16666666666667,984.8041666666667,0.11666666666666665,7.729166666666667,117.375,0.49583333333333335,1.5458333333333334,12.954166666666666,-0.28750000000000003,87.75,980.8041666666667,92.16666666666667,0.6625,1.8458333333333332,13.279166666666667,-0.19999999999999998,94.91666666666667,86.08333333333333,0.46249999999999997,1.4625000000000001,14.891666666666666,-0.0375,92.20833333333333,149.25,0.4875,1.8791666666666667,-1.8,88.0,-1.4,86.0,983.5,0.0,2.6,40.0,0.2,0.5,-1.8,83.0,979.5,46.0,0.1,0.8,-1.7,90.0,53.0,0.1,0.2,-1.4,85.0,5.0,0.1,1.0,0.8,95.0,1.0,96.0,986.6,0.25,33.0,205.0,1.2,3.0,0.8,92.0,982.5,172.0,1.8,3.9,0.7,98.0,280.0,1.5,3.4,1.0,95.0,356.0,1.1,3.4,2018,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2018-01-15,18.083333333333332,-2.0500000000000003,89.25,18.620833333333334,-1.8083333333333333,86.58333333333333,983.3041666666667,0.004166666666666667,7.908333333333334,150.66666666666666,0.6749999999999999,1.7041666666666666,17.654166666666665,-2.0749999999999997,83.125,979.2125,165.70833333333334,0.30416666666666664,0.9833333333333334,17.191666666666666,-1.8833333333333335,90.20833333333333,135.79166666666666,0.37083333333333335,1.25,20.349999999999998,-1.9000000000000001,87.125,174.79166666666666,0.4791666666666667,1.4791666666666667,-2.4,84.0,-2.0,82.0,977.4,0.0,2.6,75.0,0.2,0.8,-2.3,81.0,973.2,64.0,0.0,0.5,-2.2,87.0,70.0,0.1,0.2,-2.2,81.0,55.0,0.1,0.8,-1.8,92.0,-1.6,91.0,986.6,0.05,26.0,210.0,1.2,2.5,-1.8,86.0,982.5,264.0,0.8,1.5,-1.6,93.0,190.0,0.7,2.1,-1.5,91.0,238.0,0.9,2.0,2018,15,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2018-01-16,39.295833333333334,-0.49583333333333335,88.54166666666667,35.612500000000004,0.012499999999999975,85.0,966.2416666666667,0.006250000000000001,77.78333333333333,190.375,0.3833333333333333,1.6958333333333335,37.47083333333333,-0.6291666666666667,83.625,961.9708333333333,159.83333333333334,0.42083333333333334,1.6291666666666667,41.34166666666667,-0.625,90.08333333333333,147.125,0.3458333333333334,1.425,36.37083333333333,-0.05833333333333335,83.79166666666667,218.45833333333334,0.4583333333333333,1.8541666666666667,-3.0,80.0,-3.3,69.0,960.2,0.0,2.4,92.0,0.1,0.8,-2.6,77.0,955.7,44.0,0.1,0.9,-2.6,82.0,45.0,0.1,0.2,-3.2,65.0,130.0,0.2,0.8,4.0,93.0,3.8,94.0,976.3,0.1,429.2,351.0,0.8,3.8,3.3,89.0,972.2,329.0,0.8,3.0,2.7,94.0,343.0,1.2,4.4,5.7,93.0,353.0,2.5,7.4,2018,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2018-01-17,19.662499999999998,2.841666666666667,73.0,13.008333333333333,2.779166666666667,76.375,960.9625,0.0,53.15833333333333,255.79166666666666,0.49583333333333335,2.6083333333333334,32.14090909090909,2.5541666666666667,73.625,956.5833333333334,216.70833333333334,0.6708333333333334,2.6083333333333334,19.458333333333332,2.4625,76.95833333333333,240.58333333333334,1.0374999999999999,3.625,15.445833333333333,3.170833333333333,69.625,215.16666666666666,0.7833333333333333,3.795833333333333,0.9,33.0,1.0,42.0,957.5,0.0,2.0,7.0,0.2,1.5,1.0,37.0,953.0,43.0,0.2,1.3,0.4,41.0,102.0,0.1,0.8,1.2,28.0,12.0,0.1,0.9,5.6,95.0,5.6,97.0,969.1,0.0,274.5,357.0,1.1,5.1,5.4,91.0,964.8,327.0,1.5,4.8,5.6,97.0,348.0,3.8,11.2,5.8,94.0,349.0,2.3,8.6,2018,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2018-01-18,24.53333333333333,1.9958333333333333,70.79166666666667,17.491666666666667,1.5166666666666666,75.5,969.1708333333332,0.0,76.45,214.20833333333334,0.5958333333333333,2.158333333333333,51.1875,1.8125,67.20833333333333,964.9041666666667,249.16666666666666,0.6083333333333333,2.2416666666666667,22.224999999999998,1.8125,71.58333333333333,218.33333333333334,0.8791666666666665,2.65,18.283333333333335,2.308333333333333,65.33333333333333,217.625,0.8166666666666668,3.1750000000000003,-0.2,51.0,-0.8,45.0,964.3,0.0,2.0,6.0,0.1,1.1,-0.3,49.0,959.9,13.0,0.1,1.1,-1.1,52.0,9.0,0.1,0.7,-0.1,39.0,3.0,0.2,0.8,5.3,91.0,5.8,95.0,972.9,0.0,363.7,353.0,1.7,3.7,5.9,79.0,968.6,348.0,1.4,5.0,5.4,89.0,334.0,2.9,7.9,6.1,88.0,318.0,2.0,7.4,2018,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2018-01-19,24.629166666666666,2.8125,80.91666666666667,13.770833333333334,2.8791666666666664,76.25,968.5916666666667,0.00375,31.833333333333332,228.08333333333334,0.6458333333333334,2.5083333333333333,26.718181818181815,2.5375,72.95833333333333,964.3125,173.20833333333334,0.4166666666666667,2.1083333333333334,26.041666666666668,2.2333333333333334,83.29166666666667,211.91666666666666,0.5958333333333333,2.1125000000000003,19.041666666666668,3.225,75.04166666666667,170.875,0.5375,2.720833333333333,-0.2,49.0,-0.6,49.0,964.6,0.0,2.1,8.0,0.2,0.9,-0.2,51.0,960.1,10.0,0.1,1.1,-0.8,57.0,31.0,0.1,0.5,0.0,43.0,9.0,0.1,0.9,6.7,94.0,6.6,95.0,973.7,0.09,122.8,352.0,2.2,6.4,6.8,85.0,969.5,348.0,0.9,4.2,6.7,95.0,337.0,1.8,4.5,6.8,94.0,340.0,1.8,6.2,2018,19,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2018-01-20,31.379166666666666,0.3416666666666666,80.875,23.254166666666666,0.6749999999999999,77.0,971.0666666666666,0.0,98.37083333333334,217.95833333333334,0.6458333333333334,1.8583333333333334,40.72222222222222,0.22916666666666666,73.91666666666667,966.8333333333334,158.75,0.28750000000000003,1.3458333333333332,35.94583333333333,-0.19166666666666662,82.91666666666667,196.04166666666666,0.33749999999999997,1.0833333333333333,25.9875,0.7124999999999999,77.125,195.0,0.4083333333333334,1.4625000000000001,-3.1,57.0,-2.0,52.0,963.9,0.0,2.0,7.0,0.2,0.7,-2.8,56.0,959.6,36.0,0.1,0.8,-3.9,60.0,94.0,0.0,0.1,-2.6,44.0,6.0,0.1,0.7,4.7,95.0,5.1,90.0,974.0,0.0,447.2,356.0,1.3,3.1,5.1,84.0,969.8,333.0,0.9,2.7,5.0,95.0,330.0,1.3,2.9,5.1,94.0,335.0,1.0,2.6,2018,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
