index,Nord_Windspeed,Ost_Windspeed,Sud_Windspeed,West_Windspeed,Nord_Winddirection,Ost_Winddirection,Sud_Winddirection,West_Winddirection,Jesen,Proljece,Ljeto,Zima
2/16/2018,0.504166667,0.35,0.375,0.320833333,194.4166667,181.625,140.125,164.75,0,0,0,1
2/17/2018,0.654166667,0.520833333,0.7875,0.516666667,168.8333333,163.7083333,133.7083333,155.6666667,0,0,0,1
2/18/2018,0.683333333,0.645833333,0.625,0.533333333,163.6666667,147.625,122.7083333,164.375,0,0,0,1
2/19/2018,0.491666667,0.525,0.508333333,0.466666667,140.2916667,148.4583333,115.625,177.1666667,0,0,0,1
2/20/2018,0.345833333,0.441666667,0.233333333,0.316666667,234.8333333,206.4166667,195.9583333,205.0833333,0,0,0,1
2/21/2018,0.4625,0.329166667,0.3375,0.429166667,131.875,172.5416667,142.9166667,181.25,0,0,0,1
2/22/2018,0.441666667,0.383333333,0.241666667,0.445833333,191.875,201.4583333,165.0833333,176.0833333,0,0,0,1
2/23/2018,0.2875,0.304166667,0.204166667,0.291666667,173.0833333,163.4583333,167.4583333,211.875,0,0,0,1
2/24/2018,0.804166667,0.6875,0.6125,0.666666667,183.0833333,184.625,150.4583333,179.75,0,0,0,1
2/25/2018,0.525,0.654166667,0.570833333,0.5,190.5,147.7083333,124.7083333,167.125,0,0,0,1
2/26/2018,0.545833333,0.6,0.6875,0.829166667,229.0833333,212.4583333,206.4583333,209.5416667,0,0,0,1
2/27/2018,0.8875,0.820833333,1.633333333,1.55,248.5,209.8333333,229.0833333,281.6666667,0,0,0,1
2/28/2018,0.766666667,0.429166667,0.5125,0.729166667,202.9166667,183.125,158.5416667,217.9166667,0,0,0,1
3/1/2018,0.829166667,0.7,0.4875,0.608333333,183.2083333,215.625,167.1666667,155.1666667,0,1,0,0
3/2/2018,0.575,0.5125,0.416666667,0.5,189.5833333,208.2083333,164.7916667,188.0833333,0,1,0,0
3/3/2018,0.533333333,0.479166667,0.4375,0.425,168.0416667,147.375,117.0833333,184.6666667,0,1,0,0
3/4/2018,0.533333333,0.420833333,0.395833333,0.420833333,167.75,192.5,144.9166667,165.5416667,0,1,0,0
3/5/2018,0.45,0.495833333,0.379166667,0.3375,137.8333333,161.5833333,127.75,172.5833333,0,1,0,0
3/6/2018,0.383333333,0.504166667,0.4125,0.404166667,178.4166667,211.875,190.875,210.2083333,0,1,0,0
3/7/2018,0.5,0.441666667,0.395833333,0.333333333,212.4583333,206.9166667,200.9583333,183.8333333,0,1,0,0
3/8/2018,0.879166667,0.5625,1.079166667,0.85,221.0833333,191.75,186.6666667,168.125,0,1,0,0
