,D_NO2,D_NO2_pred,N_NO2,N_NO2_pred,O_NO2,O_NO2_pred,S_NO2,S_NO2_pred,W_NO2,W_NO2_pred,D_PM10K,D_PM10K_pred,N_PM10K,N_PM10K_pred,O_PM10K,O_PM10K_pred,S_PM10K,S_PM10K_pred,W_PM10K,W_PM10K_pred,N_O3,N_O3_pred,S_O3,S_O3_pred
2020-01-26,42.957996,50.184906,39.78917,34.973568,39.458004,31.428528,35.605682,44.51304,38.047207,38.797325,50.889057,40.77707,54.25156,35.82664,50.1022,22.631561,47.168095,43.78468,51.87729,38.41083,3.9870684,10.871783,1.395037,12.381522
2020-01-27,30.404928,41.55635,30.58833,28.532883,30.772139,28.07873,27.278229,42.073826,28.583115,32.08736,38.58186,40.69948,44.639507,35.28851,40.882298,31.625336,38.883106,41.27432,42.271008,36.498257,3.9211912,13.200631,1.3960994,5.5840955
2020-01-28,42.009933,57.977924,36.562614,38.52577,38.221775,39.143692,31.170353,40.879406,37.342556,42.195904,49.81483,43.507034,51.99811,33.575848,44.60261,33.394,43.98079,46.28182,45.900555,37.21892,4.612535,8.135532,1.3375072,7.1810718
2020-01-29,51.116184,58.588184,32.482693,35.97269,41.629913,42.25248,38.66333,45.099777,38.67508,39.771854,38.088913,44.042213,27.581055,21.328213,36.286118,32.218494,32.991905,39.610706,31.45079,30.47834,17.96443,11.482089,8.545547,8.291
2020-01-30,48.97617,60.49379,30.605597,36.99283,37.625595,41.735584,39.6866,44.994064,35.877773,38.974052,29.81621,44.697964,17.856417,22.373968,43.98653,36.827686,30.583153,37.40102,23.807472,26.150026,27.157818,19.278307,14.901334,12.006738
2020-01-31,63.762283,58.836395,38.893185,36.991325,45.544388,44.036938,48.233265,49.882915,45.032143,45.245945,42.587658,39.93081,20.82917,25.345243,66.03355,39.47706,35.724514,48.675896,27.189608,35.748066,21.514229,19.950645,13.92294,10.360245
2020-02-01,81.7962,57.068363,51.844585,32.875675,58.1425,42.770897,65.05139,51.020027,62.282963,42.659824,78.77209,36.857216,34.723843,18.135584,111.510895,32.36404,78.2257,51.54991,58.88164,33.648182,11.96399,33.127472,1.299132,9.103492
2020-02-02,50.15714,48.592075,33.023228,28.629335,37.428528,37.31201,38.869587,40.231964,29.625465,27.50154,34.722507,32.53017,22.25546,18.820126,38.133762,29.09664,39.122387,38.49485,23.3673,22.197355,23.626858,32.539948,13.360121,23.760546
2020-02-03,44.93041,44.773327,25.90854,25.157507,28.766666,34.714043,31.997364,36.854874,32.128468,25.922483,27.965622,29.731428,17.322796,23.09365,31.58393,25.533699,26.955793,33.225815,21.74961,23.952707,28.774881,33.015408,17.819956,27.623354
2020-02-04,49.0196,55.82786,23.273962,24.255411,26.46931,39.91173,36.356358,45.241722,29.846125,34.651497,33.678905,36.793377,12.620197,16.513292,29.87787,28.61787,30.778593,28.50474,19.828156,20.617914,36.32861,34.42237,22.04046,21.33135
2020-02-05,43.30281,58.69781,19.544056,26.003149,21.486046,23.826399,29.95392,27.19345,28.03262,27.893991,17.953108,39.17204,9.313851,14.055673,20.234013,15.648178,12.627128,18.789217,12.097614,20.475073,46.211956,30.810558,33.46443,34.588165
2020-02-06,22.483686,56.062244,3.2584345,13.528274,8.86542,21.831093,12.584035,21.449827,8.167482,17.12309,14.465299,34.95854,5.8485336,10.856274,11.327099,18.229681,9.115947,18.76778,8.500518,14.036263,69.67772,48.40033,55.95735,48.542168
2020-02-07,51.255962,41.34614,22.290676,16.079727,31.826086,32.22711,39.13163,40.144238,27.484102,21.341759,21.076427,25.481255,13.931224,14.335279,27.7183,28.062586,22.854088,26.246939,12.928696,14.3370695,49.78576,56.12026,32.99382,37.9768
2020-02-08,61.641212,58.20505,39.17397,24.923664,40.383396,43.64706,50.618942,54.7773,47.55574,37.50831,36.006687,36.488747,26.44507,15.378461,42.278477,39.52328,42.709885,49.645798,30.95756,30.11236,20.703102,41.030754,12.1385975,15.806079
2020-02-09,52.08172,54.453087,33.796547,27.63144,33.442986,38.21357,39.39472,46.87568,43.199417,34.911446,30.385832,41.498436,23.612871,21.644213,33.338528,31.591686,33.368393,47.00612,27.661835,30.887518,23.562115,34.0377,13.957444,19.884264
2020-02-10,50.928253,49.99372,30.866339,29.476662,34.71475,39.814224,37.009842,37.66319,41.87047,42.67363,38.6449,37.834225,29.120134,22.029179,38.434917,35.34079,39.83032,42.96006,33.764175,32.8186,22.602976,33.11047,12.208977,23.681458
2020-02-11,28.769817,51.329823,23.547586,25.529953,30.44537,24.118134,35.84605,30.626707,14.825335,16.76617,23.064837,29.590408,17.059683,14.66798,36.71901,24.604092,28.684998,23.2441,17.628782,17.789087,48.492794,39.42993,34.429188,41.606358
2020-02-12,30.889547,51.736103,10.43587,13.612189,13.959276,14.428607,20.402655,22.804047,16.458609,18.620266,24.191023,29.605516,9.7808695,7.5534472,15.540195,18.429268,14.326538,15.514842,11.096179,15.114248,65.28133,57.357117,52.960278,44.56789
2020-02-13,56.62029,43.19422,30.676392,26.183907,39.632793,41.834118,43.484386,35.41323,32.857113,27.543087,31.51158,25.554525,12.999531,21.864214,32.121803,31.329222,30.245178,27.217512,15.395637,18.825422,42.043022,35.48357,32.8717,39.63304
2020-02-14,65.320435,60.167305,39.01847,38.012524,40.390465,43.369404,47.765987,52.09714,49.79893,44.308876,38.898586,44.103745,24.199173,20.62952,33.92201,37.701683,37.450115,50.532528,28.682123,37.162746,23.969046,25.619678,14.835571,13.516314
2020-02-15,57.825134,55.82786,27.7297,33.07296,32.909966,33.094746,39.783047,35.53524,39.933323,35.742172,32.04172,36.18599,18.8857,18.447115,32.20245,27.630856,30.222746,22.36858,25.201126,26.965038,38.952454,33.443382,27.25456,38.07511
2020-02-16,52.741905,51.906982,27.149466,29.047771,31.602247,40.053055,39.634567,42.10518,40.745056,35.99868,22.216406,34.399097,16.01414,23.472878,24.029505,35.63971,27.029083,32.64319,19.665121,29.47552,34.98564,26.990211,21.422453,23.522366
2020-02-17,45.17747,46.128227,23.53652,24.869495,28.58174,37.00296,33.986855,40.264008,36.538837,36.671513,24.9607,34.49126,19.767797,22.053614,27.155867,33.271717,28.295847,37.094563,23.547712,27.98705,31.187609,32.929794,16.554579,23.232735
