,D_PM10K_mean_nn_PRED_random_state_1,D_PM10K_mean,D_PM10K_mean_nn_PRED_random_state_2,D_PM10K_mean_nn_PRED_random_state_3,D_PM10K_mean_nn_PRED_random_state_4,D_PM10K_mean_nn_PRED_random_state_5,D_PM10K_mean_rf_PRED_random_state_1,D_PM10K_mean,D_PM10K_mean_rf_PRED_random_state_2,D_PM10K_mean_rf_PRED_random_state_3,D_PM10K_mean_rf_PRED_random_state_4,D_PM10K_mean_rf_PRED_random_state_5,N_PM10K_mean_nn_PRED_random_state_1,N_PM10K_mean,N_PM10K_mean_nn_PRED_random_state_2,N_PM10K_mean_nn_PRED_random_state_3,N_PM10K_mean_nn_PRED_random_state_4,N_PM10K_mean_nn_PRED_random_state_5,N_PM10K_mean_rf_PRED_random_state_1,N_PM10K_mean,N_PM10K_mean_rf_PRED_random_state_2,N_PM10K_mean_rf_PRED_random_state_3,N_PM10K_mean_rf_PRED_random_state_4,N_PM10K_mean_rf_PRED_random_state_5,O_PM10K_mean_nn_PRED_random_state_1,O_PM10K_mean,O_PM10K_mean_nn_PRED_random_state_2,O_PM10K_mean_nn_PRED_random_state_3,O_PM10K_mean_nn_PRED_random_state_4,O_PM10K_mean_nn_PRED_random_state_5,O_PM10K_mean_rf_PRED_random_state_1,O_PM10K_mean,O_PM10K_mean_rf_PRED_random_state_2,O_PM10K_mean_rf_PRED_random_state_3,O_PM10K_mean_rf_PRED_random_state_4,O_PM10K_mean_rf_PRED_random_state_5,S_PM10K_mean_nn_PRED_random_state_1,S_PM10K_mean,S_PM10K_mean_nn_PRED_random_state_2,S_PM10K_mean_nn_PRED_random_state_3,S_PM10K_mean_nn_PRED_random_state_4,S_PM10K_mean_nn_PRED_random_state_5,S_PM10K_mean_rf_PRED_random_state_1,S_PM10K_mean,S_PM10K_mean_rf_PRED_random_state_2,S_PM10K_mean_rf_PRED_random_state_3,S_PM10K_mean_rf_PRED_random_state_4,S_PM10K_mean_rf_PRED_random_state_5,W_PM10K_mean_nn_PRED_random_state_1,W_PM10K_mean,W_PM10K_mean_nn_PRED_random_state_2,W_PM10K_mean_nn_PRED_random_state_3,W_PM10K_mean_nn_PRED_random_state_4,W_PM10K_mean_nn_PRED_random_state_5,W_PM10K_mean_rf_PRED_random_state_1,W_PM10K_mean,W_PM10K_mean_rf_PRED_random_state_2,W_PM10K_mean_rf_PRED_random_state_3,W_PM10K_mean_rf_PRED_random_state_4,W_PM10K_mean_rf_PRED_random_state_5
2020-01-03,34.929264087382705,51.0625,33.70924294864629,33.842566885866205,36.821083951730195,34.94188440524206,39.44141878319268,51.0625,39.39565946655808,40.06525334083128,38.25906772676873,39.62610912811147,21.907001626428777,33.487500000000004,27.490280368863772,26.126792389852028,27.099971127483336,25.161925632681278,29.891457610427523,33.487500000000004,31.53503321158008,30.81294850471841,31.051544864037783,31.67893284393484,38.9600499557079,36.85416666666666,38.225278502109546,41.77820814842973,35.90976081750939,36.95753304864888,41.26331865009989,36.85416666666666,42.04395459054833,39.34612763147347,39.08965207130831,39.506496019721006,48.90793549095149,57.458333333333336,46.71545960654806,46.212026326151985,50.31235570528254,48.4350725521896,53.65757803030302,57.458333333333336,55.151716116522365,54.63542638065438,53.971556123737344,53.03397026515153,33.701944644694656,37.87083333333333,33.899610523372026,30.693905425961386,35.44619796983377,34.602959134688575,40.11642485888294,37.87083333333333,43.150050098885686,40.87175307775205,41.340619966206184,40.508477969072
2020-01-04,32.0737836858257,43.0375,32.109780320241754,29.341993147046818,34.287668153261556,32.00306117923217,37.308888794191894,43.0375,37.31934540419069,38.61984101055195,37.167600060630306,35.6798767812049,14.007153945374062,29.391666666666666,17.41600630874953,16.72641772365543,17.41037350260153,17.769279407327623,18.741021252932764,29.391666666666666,17.627639718478232,18.132216752894713,17.258931962600165,17.90160150894443,27.2819211138255,36.50833333333333,32.548439825161495,26.628807096623618,27.102699729778788,29.613053052920286,33.785003884809164,36.50833333333333,33.22524653263403,33.27559550617916,32.545139009851,33.35661612030316,30.605049793071817,52.2875,29.34787080786105,27.452267425894217,31.83374292377432,32.01598787293826,35.03740977437418,52.2875,36.20776221649728,38.10908201281589,39.204089042599904,37.43575578965117,22.878855444480838,39.00416666666667,25.359020868445988,21.55155923275515,27.616268465045266,24.547590249327623,24.882852429836667,39.00416666666667,24.774708945368275,23.457601661916023,24.512512540712173,24.380192100914975
2020-01-05,28.189492650811275,16.054166666666667,28.788743276583986,27.644975188825622,30.648861589119868,27.1944501503892,26.764656646825404,16.054166666666667,24.590798394660887,26.139288764880977,25.691841039862915,23.576917793774196,12.847621030534405,7.3625,17.442045122228617,15.591000758518735,16.182582936160966,17.574922384082182,16.645703575214558,7.3625,15.409065580379037,15.454878168557746,17.177014650318412,16.322264535994908,20.0677841298326,16.391666666666666,19.34159043808749,20.633942046246602,19.14810836013597,21.44054819686895,23.342268320890057,16.391666666666666,23.21054498857624,25.433370113309376,21.667553928539782,22.20243317559634,17.20162897339069,13.620833333333335,16.26149909887369,15.261929392716699,17.012573670584256,18.57423969720334,19.938692059178734,13.620833333333335,20.073973075083117,21.161101136363637,18.9293176046176,20.89386259489303,12.578212554504486,12.325,14.039976151906552,17.417209791228313,17.087453828637887,15.280332792761659,18.889587048961506,12.325,19.664239987116645,17.607704851277354,18.304582767112116,18.761030239978176
2020-01-06,38.70132683032929,28.991666666666664,37.22178966536002,32.763377959454225,40.4625711541236,33.27236784125057,41.072031760204084,28.991666666666664,40.22650593584654,40.878989248511935,39.557899429563506,38.51688409090907,17.93350571750418,20.25,30.460026455117593,27.620951711076255,27.984696184745253,27.240900298440163,29.65675686713648,20.25,29.281334385391173,29.43883452380952,30.825851945045677,30.36862244357393,38.412013567793906,30.554166666666664,38.78207077498565,40.14494633101812,33.81289732265695,35.8804625787437,41.78011353114478,30.554166666666664,41.779254127585375,43.11916977012185,42.2196562950938,40.58879958213084,48.83000223842452,31.73333333333333,41.34590215418908,36.73125696280718,54.23177340537878,51.30643500931932,48.978429166666665,31.73333333333333,48.87737935606062,49.13641211572245,46.799332850829714,46.12758554292928,29.485783638982486,25.129166666666663,35.104175132498504,31.5412258764312,37.59685758856715,33.530794761477694,36.18541173185477,25.129166666666663,33.49163713025394,34.90558503445083,37.1071404809039,31.562392623063207
2020-01-07,40.24120079244484,53.9,39.09300479223511,36.82942198625139,38.65952974417828,37.75809167345936,47.68346761416687,53.9,47.534502177897686,48.36342218534197,47.62095437635283,47.77670815634017,25.097359483232356,36.19583333333333,31.366307598410987,29.69764779786984,30.54662150304361,27.257999426744117,34.72568317296132,36.19583333333333,35.342921703643576,34.923308071201134,33.34653730105682,33.548197135661596,44.659198236994115,53.5125,44.1934682088184,45.54448517138683,43.122137129499436,43.611992748335275,45.59158712722465,53.5125,47.7115231219508,44.46144311067022,46.29956267135642,44.25864834054833,45.33685077826797,58.19583333333333,45.3285156654458,43.10685306835987,47.848445781736274,46.34157411024467,51.00738560756373,58.19583333333333,50.76277960633116,50.192473952594135,50.73641262626262,49.29054749278501,34.134381583644995,44.45454545454545,33.10171245542213,31.150562733529796,36.857752202122484,35.859478029416664,42.781725087983894,44.45454545454545,44.17516111582454,43.823650042837635,43.48177865517014,42.784257137742436
2020-01-08,39.68948547418604,46.2695652173913,39.8785175837769,37.07895773756946,40.17728329943552,39.31040392027119,41.73185105162065,46.2695652173913,40.83337550191161,42.23270504331153,43.22684930670502,42.71460264663,23.340920243767535,35.18333333333333,29.75608247167523,30.070343882636294,29.683365425240993,26.77683229174826,35.81693104002481,35.18333333333333,35.076787450396836,34.68140962301587,34.919431234539296,34.121678946327805,51.25655588377092,46.52916666666667,49.94011378927353,51.756216813254184,48.68794209334373,50.09440838720333,44.36151439243628,46.52916666666667,45.85757763133031,44.60318366502325,45.500072537878786,44.90628544372296,46.50448895687997,58.22916666666666,43.60651865394813,42.09336249691783,45.20715458512139,46.887282061690684,53.28523999969938,58.22916666666666,48.48821750616282,50.164592410987595,50.265563325216434,48.42621199494951,32.76901798926487,43.82916666666667,31.471624565364426,30.131384797013958,36.67445807400622,34.39654113846153,37.606061361636705,43.82916666666667,37.66938360514078,40.07009260191255,39.61083874044685,39.79978483243603
2020-01-09,36.773563060959205,67.96249999999999,36.337575872001,34.86653718811582,37.45444553261941,36.228339488351516,40.516520662371164,67.96249999999999,39.22463770141894,40.79327827289692,41.258104195409224,41.39066858840414,22.618343577842314,48.12083333333334,27.63191336206508,26.87397632360004,27.826099448795794,25.944753874653184,30.253893876554226,48.12083333333334,31.48365197187073,31.77251148109828,30.887586679389155,29.026107683977667,45.63558553010922,73.75833333333334,40.990725910256536,46.113614449482405,43.792383388500156,42.42083830863347,45.29651104940383,73.75833333333334,47.53023770528412,44.58322294672921,45.77903180375179,43.70294395956748,42.77421519525355,64.4375,43.90398413283612,41.36994786937798,45.15365883138069,44.76320260600343,48.989615770803255,64.4375,49.12213368882275,50.76482378246753,50.23142244769117,48.253275694444454,32.12179768162815,57.53333333333333,30.949402064362303,28.69717107782898,36.546775906293554,32.80726574015745,37.04480944881229,57.53333333333333,38.070567654407085,37.396027940919964,37.88033548362395,38.43158350953094
2020-01-10,39.757244570001404,52.40416666666667,38.186435226398984,37.74844654579198,39.42397475153101,38.7476606630139,43.17069075010637,52.40416666666667,44.14307449111687,42.65643942070285,43.77550480382031,43.53182700687886,25.79346658632998,42.30833333333333,30.592625241239244,28.62840905279497,29.573367003785826,27.632137069521303,29.789592193659228,42.30833333333333,30.201686824447705,30.86682545213881,30.231158288008878,29.51467373142644,47.761488250169194,51.10416666666666,46.48075834786145,49.433372634916026,45.1293043823576,45.951506993475746,45.80139736288324,51.10416666666666,46.386870278035474,45.75922380952382,45.241549503968244,44.26356152811004,43.82202970226546,63.958333333333336,43.31498003949232,41.18697154094209,44.834331352990105,44.560314440192634,53.65630932239058,63.958333333333336,54.424857534421626,53.65932786424024,53.41170449585135,53.00961251921388,33.657079939626705,44.2875,34.0083800675754,29.91617132235056,36.880785281547105,34.24746172325166,41.341498286375455,44.2875,39.75286770868021,40.56525682935179,39.82249904283519,39.443786818232034
2020-01-11,31.724663877504206,42.15416666666667,31.688493422260574,28.87910749811709,33.601957041630634,31.25562884314256,35.84914526117265,42.15416666666667,33.30865007440474,36.75059796401514,37.09154823185392,35.894774362674355,15.720471747349631,26.558333333333334,22.52791336133465,20.545167554520425,20.91504444920892,20.330831902744837,18.722978502192472,26.558333333333334,18.08268056194088,17.956951758092643,18.42652427281755,18.40800808795221,31.287631246488655,41.375,34.05789868606861,31.730035819581346,31.660260259168936,31.275128343124056,34.74007565909969,41.375,33.74555232804232,31.700257952066604,33.004100271432996,30.632342975981135,31.754385258476375,51.21666666666667,32.837269329388384,26.389115529044076,34.143735725857134,33.902095173678546,27.533319968708824,51.21666666666667,28.34036199906677,27.79474247286529,28.17736559343434,26.283438043478263,20.272915120245646,33.5,22.32197979262547,20.46462491891175,25.80877045538707,22.83541832357541,21.95883162951627,33.5,20.90148652646204,21.470916944873252,23.184299503927978,21.191923875439205
2020-01-12,33.57271871776549,29.2125,33.768636102269795,32.02817871556464,35.142110432187195,32.23549381550808,35.51459175126491,29.2125,35.394124396494675,37.366309226190474,35.4919369705458,33.83311577380952,20.06392545569109,22.9125,26.578904346725594,25.696084484051983,25.653123234427632,24.481534939178403,28.178486986556642,22.9125,28.178485971365603,28.894144706624402,28.849882165625093,28.66036880790969,41.64402629758009,28.695833333333336,39.10176290913131,45.119005930143246,36.972466351007434,36.48954234624534,40.9767271374459,28.695833333333336,41.14603402018302,42.15447062690395,40.97029030784031,41.39528848304472,38.95261598320472,35.24583333333333,40.09140520025198,36.4533653725168,43.79052543191665,41.310833150690264,44.22989094794092,35.24583333333333,44.44137075294876,47.33983095355734,46.863341287878754,44.670219444444434,26.928795227208866,27.05,27.147285996233965,26.68631896280697,30.25458185122898,28.325987625270002,33.84740316113624,27.05,32.95693846510923,33.30643143738264,37.16693230368488,32.39828377430032
