ds,pm1_prophet_trend,pm1_prophet_seasonality_weekly,pm1_prophet_seasonality_yearly,pm25_prophet_trend,pm25_prophet_seasonality_weekly,pm25_prophet_seasonality_yearly,pm10_prophet_trend,pm10_prophet_seasonality_weekly,pm10_prophet_seasonality_yearly
2009-01-01,20.160671497006277,0.1532407832693659,8.286568434773452,26.356472246996685,0.14817663145694546,12.467984757339224,33.214661704228156,0.32487276736516585,11.95828991445864
2009-01-02,20.157903638363166,-0.24381333795700455,7.914693278077227,26.35389566268661,-0.3111294566229712,11.955808586502915,33.211981848178624,0.20830637869696292,11.523998652536894
2009-01-03,20.15513577972006,-0.3308059560754936,7.571147884044361,26.351319078376534,-0.30227482175925063,11.468196863370107,33.20930199212909,-0.6215796844347014,11.104085059448948
2009-01-04,20.152367921076948,-0.12784135795908644,7.264693143205794,26.34874249406646,0.30706020526746114,11.018142982745923,33.20662213607957,-0.10462524419903882,10.709927177202713
2009-01-05,20.149600062433837,0.6744763141048415,7.002906069870458,26.34616590975639,0.5460069068448892,10.617354255803894,33.203942280030034,0.4235787892207589,10.351978048691562
2009-01-06,20.14683220379073,-0.2810976656384594,6.7919929840905615,26.343589325446313,-0.4145196946329351,10.275948455458021,33.20126242398051,-0.49755279320537094,10.03948881176567
2009-01-07,20.14406434514762,0.15584122025484243,6.6366412312755445,26.34101274113624,0.026680229443663186,10.002196001360307,33.19858256793098,0.2669997865521364,9.78026628337371
2009-01-08,20.14129648650451,0.1532407832697638,6.5399131744312955,26.338436156826162,0.14817663145704565,9.8023145610749,33.195902711881445,0.32487276736545545,9.580471477647302
2009-01-09,20.1385286278614,-0.24381333795664592,6.5031849958475005,26.33585957251609,-0.3111294566224616,9.680321338450348,33.19322285583192,0.20830637869780808,9.444464328207973
2009-01-10,20.13576076921829,-0.3308059560749596,6.5261315834470865,26.33328298820601,-0.30227482175860604,9.637946675457709,33.19054299978239,-0.6215796844342442,9.374698571196362
2009-01-11,20.132992910575183,-0.12784135795781834,6.606757487974836,26.330706403895938,0.3070602052684528,9.674610857188346,33.187863143732855,-0.10462524419697831,9.371669329335946
2009-01-12,20.13022505193207,0.6744763141048405,6.741472657493261,26.32812981958586,0.5460069068447385,9.787464231202112,33.18518328768332,0.42357878922246744,9.433914459301311
2009-01-13,20.12745719328896,-0.28109766563931765,6.925210421456365,26.32555323527579,-0.4145196946333804,9.971488982710373,33.1825034316338,-0.49755279320496915,9.558069226720406
2009-01-14,20.124689334645854,0.15584122025407113,7.151584042686365,26.322976650965717,0.026680229442805476,10.219659196422578,33.179823575584265,0.2669997865511972,9.738972397670612
2009-01-15,20.121921476002743,0.15324078327026072,7.413077114174926,26.32040006665564,0.14817663145747892,10.523154232618445,33.17714371953474,0.3248727673655253,9.969820423982588
2009-01-16,20.119153617359636,-0.2438133379543262,7.701262177524575,26.317823482345567,-0.3111294566208673,10.8716189939543,33.17446386348521,0.20830637870027052,10.242365091339934
2009-01-17,20.116385758716522,-0.3308059560744254,8.00704120576987,26.31524689803549,-0.30227482175796133,11.253463401123643,33.171784007435676,-0.6215796844337871,10.547148830338841
2009-01-18,20.113617900073415,-0.12784135795655013,8.320901044896996,26.312670313725416,0.3070602052694445,11.656192364198342,33.16910415138615,-0.10462524419491774,10.8737708932295
2009-01-19,20.110850041430307,0.6744763141045905,8.633176559981008,26.31009372941534,0.5460069068440784,12.066756760228424,33.16642429533662,0.42357878922105135,11.211176800008523
2009-01-20,20.108082182787197,-0.28109766563865574,8.934314091845032,26.307517145105265,-0.4145196946328566,12.471915426691993,33.163744439287086,-0.49755279320472423,11.547962877823228
2009-01-21,20.105314324144086,0.15584122025398442,9.215127901020628,26.304940560795195,0.026680229443056636,12.858597967113528,33.161064583237554,0.266999786551717,11.872687372109992
2009-01-22,20.10254646550098,0.1532407832687528,9.467042553817064,26.30236397648512,0.14817663145660764,13.214258243457767,33.15838472718803,0.3248727673648932,12.17417950433364
2009-01-23,20.099778606857868,-0.24381333795719282,9.682314680916548,26.299787392175045,-0.3111294566226303,13.527208795342649,33.1557048711385,0.20830637869759333,12.441837990640174
2009-01-24,20.09701074821476,-0.33080595607551944,9.854228196918937,26.297210807864968,-0.3022748217582999,13.786927066082836,33.15302501508897,-0.6215796844353222,12.665910912279603
2009-01-25,20.09424288957165,-0.12784135795865073,9.977257889219544,26.294634223554894,0.3070602052677925,13.984325209433075,33.15034515903944,-0.10462524419828109,12.837749429520537
2009-01-26,20.09147503092854,0.6744763141053122,10.047197241715939,26.29205763924482,0.5460069068462248,14.111976371141921,33.14766530298991,0.42357878922235115,12.95002863715728
2009-01-27,20.08870717228543,-0.28109766563876565,10.061247424333008,26.289481054934743,-0.41451969463307364,14.164291651854919,33.144985446940375,-0.4975527932051651,12.996929846771684
2009-01-28,20.08593931364232,0.1558412202538978,10.018065521724273,26.28690447062467,0.026680229443307772,14.137643423366264,33.14230559089085,0.2669997865522369,12.974279719177193
2009-01-29,20.083171454999214,0.1532407832710564,9.917771260079945,26.284327886314596,0.14817663145767926,14.030432245115502,33.13962573484132,0.32487276736610476,12.879642926122298
2009-01-30,20.0804035963561,-0.24381333795487314,9.761912685237089,26.281751302004523,-0.311129456621036,13.843096265948898,33.136945878791785,0.2083063787000557,12.71236635666266
2009-01-31,20.077635737712992,-0.3308059560754355,9.553392413587819,26.27917471769445,-0.3022748217588141,13.578063649639923,33.13426602274226,-0.6215796844348751,12.47357426179903
