,pm10,pm2.5,pm1
2005-01-01,64.5546028069129,58.12987809198745,
2005-01-02,37.941935380800274,30.787281069391394,
2005-01-03,41.37694945974967,31.65370462057467,
2005-01-04,43.49032304511549,35.78238515037743,
2005-01-05,78.69694071152001,64.16500009820516,
2005-01-06,38.49958696599761,31.804141544607464,
2005-01-07,56.448383487028885,45.13754706161638,
2005-01-08,27.736230753515596,22.37313012604925,
2005-01-09,51.46375044577246,42.175569780751886,
2005-01-10,76.90546236876955,65.72602456256718,
2005-01-11,97.7375749529766,79.88503220977796,
2005-01-12,152.7971837759732,129.8447341249886,
2005-01-13,138.23025720322423,127.23589670777979,
2005-01-14,36.29619713683368,30.980703519149113,
2005-01-15,24.837830881643768,20.86179488023093,
2005-01-16,37.88637102309106,33.43245254305786,
2005-01-17,64.67443108701009,56.957430145099174,
2005-01-18,94.69907854022229,86.87521712427383,
2005-01-19,79.00359802944716,71.59071855011378,
2005-01-20,47.82821433579493,44.299331895056,
2005-01-21,53.682181184940994,44.96237233275327,
2005-01-22,31.437441252646348,25.01435561349632,
2005-01-23,24.7300522252538,20.353625841829338,
2005-01-24,16.137662983985393,13.686693371026024,
2005-01-25,31.79500440423086,29.440533668378862,
2005-01-26,29.30476602331958,23.118420802306304,
2005-01-27,43.917045274211965,41.23617301092422,
2005-01-28,45.05433597915116,43.36518141019907,
2005-01-29,39.362623971805974,37.62027790288354,
2005-01-30,67.7340876967238,62.71711727830942,
2005-01-31,59.69310056169223,53.43990927879556,
2005-02-01,44.7408485486768,41.42707366163257,
2005-02-02,31.08239074935856,28.71977715909819,
2005-02-03,40.863846082038634,36.11359432214467,
2005-02-04,36.35461268315939,33.3739112412297,
2005-02-05,56.95610977454184,49.87990485580716,
2005-02-06,77.27965401035425,70.22264990023841,
2005-02-07,107.4202774558253,97.88825925348743,
2005-02-08,180.3633513809715,164.24700903823984,
2005-02-09,179.4787811114663,160.55735230662668,
2005-02-10,198.69974036680352,175.63399002380928,
2005-02-11,152.36920013701263,133.86321808018832,
2005-02-12,30.940285582998616,26.74158840496573,
2005-02-13,19.385469324770487,18.65742215433594,
2005-02-14,18.438426295354837,15.192086346545024,
2005-02-15,28.26324631864468,23.71945611805179,
2005-02-16,29.4606188015982,27.771788543263952,
2005-02-17,38.337732179531294,34.23759258415214,
2005-02-18,34.07950444664605,30.084322482061324,
2005-02-19,39.68476524783555,34.570961413746936,
2005-02-20,31.05408706898388,29.12981583733921,
2005-02-21,47.53773879299678,44.810805045212085,
2005-02-22,92.47034018652221,88.14313200530918,
2005-02-23,22.58350814060783,20.908540828030088,
2005-02-24,37.93403182248063,34.53445600329279,
2005-02-25,39.09635963809477,37.485896556322025,
2005-02-26,44.37181607249732,45.84929734978004,
2005-02-27,14.007777623146032,13.6150243099675,
2005-02-28,27.52579393302582,26.532452802124705,
2005-03-01,22.532223208902497,29.97351224750966,
2005-03-02,51.00401747630585,51.27384936556687,
2005-03-03,54.955382646644196,57.460530914419834,
2005-03-04,66.331988927303,80.62820779899164,
2005-03-05,72.93174608136766,82.22223340844488,
2005-03-06,65.22858426213946,73.44396803427165,
2005-03-07,60.10236961730315,59.18440738038292,
2005-03-08,43.7297834550732,41.644858160667816,
2005-03-09,24.698518572243195,29.956072555492216,
2005-03-10,24.48781639116071,20.943405287229954,
2005-03-11,27.85676309685469,22.81009534973162,
2005-03-12,20.24619950397555,16.213661088572184,
2005-03-13,26.346525218087514,22.548130503109128,
2005-03-14,41.54780809608703,32.87188499075103,
2005-03-15,67.3375755289708,48.92078675179475,
2005-03-16,58.58026332296751,39.20670564521332,
2005-03-17,92.22928061276968,69.78292914300228,
2005-03-18,56.25363147481576,35.90852185069673,
2005-03-19,18.778294323048225,16.06651083277456,
2005-03-20,32.464068884518966,27.98592236250698,
2005-03-21,38.131945204129224,34.284825782799516,
2005-03-22,63.20179654883654,53.37614677933649,
2005-03-23,84.3950608882729,68.70937566861595,
2005-03-24,49.63560935493492,38.82094876521612,
2005-03-25,34.82385908668637,31.213864948762097,
2005-03-26,21.547936296190837,18.14369829211976,
2005-03-27,19.505863934746213,14.847026218539268,
2005-03-28,36.391790179316324,31.846491945904866,
2005-03-29,46.640668930572254,42.29224982954579,
2005-03-30,41.03216500259262,40.733152986823846,
2005-03-31,35.8067973766589,30.266856778058703,
2005-04-01,45.971045826432835,61.10431241066957,
2005-04-02,44.77205389965641,50.94740646712248,
2005-04-03,52.028888854438236,9.660541273598197,
2005-04-04,51.16455074175778,38.304537699550586,
2005-04-05,51.493543546990225,36.382681079436004,
2005-04-06,47.550404733876825,34.328783467474665,
2005-04-07,29.88174820082038,22.901423974476447,
2005-04-08,35.17259302402603,27.230709328725837,
2005-04-09,13.6267860406388,9.0349201556448,
2005-04-10,12.102802416318298,12.151525453421028,
2005-04-11,23.120298604359434,21.044031755289808,
2005-04-12,46.90128594819249,36.8886885223528,
2005-04-13,50.21267523026387,37.35900038405521,
2005-04-14,42.84250087503161,27.802948976200536,
2005-04-15,29.072910109227497,19.817327467108736,
2005-04-16,14.290219354360124,10.357963350042295,
2005-04-17,12.49284717413191,8.208552491677803,
2005-04-18,21.371267960466614,15.758021109017108,
2005-04-19,19.69266218940953,13.161131801886249,
2005-04-20,15.297640908255755,11.4026336750907,
2005-04-21,22.373420367775026,17.123980996333096,
2005-04-22,32.01976910353158,23.525868747969973,
2005-04-23,23.736802407592005,16.97314724965343,
2005-04-24,26.345373161170876,21.544873223999268,
2005-04-25,12.757195013908538,10.231288225602656,
2005-04-26,15.856941812007676,10.908266589559622,
