,Ost_8010_208,DonBosco_8020_110,DonBosco_8020_119,DonBosco_8020_122,DonBosco_8053_111,Nord_8010_205,Ost_8010_209,Ost_8010_213,Ost_8010_214,Nord_8020_102,West_8020_103,Sud_8020_107,Sud_8041_218,Ost_8041_221,Nord_8045_203,Nord_8051_101,D_NO2,D_PM10K,N_NO2,N_O3,N_PM10K,O_NO2,O_PM10K,S_NO2,S_O3,S_PM10K,W_NO2,W_PM10K,year,dayofyear,month_Apr,month_Aug,month_Dec,month_Feb,month_Jan,month_Jul,month_Jun,month_Mar,month_May,month_Nov,month_Oct,month_Sep,weekday_Friday,weekday_Monday,weekday_Saturday,weekday_Sunday,weekday_Thursday,weekday_Tuesday,weekday_Wednesday,season_fall,season_spring,season_summer,season_winter,N_Ox,S_Ox,holiday,holiday_school,DonBosco_RH,DonBosco_Temp,Nord_Precip,Nord_Pressure,Nord_RH,Nord_Temp,Nord_Winddirection,Nord_Windspeed,Sud_RH,Sud_Temp,Sud_Winddirection,Sud_Windspeed,West_RH,West_Temp,West_Winddirection,West_Windspeed,Ost_Pressure,Ost_RH,Ost_Temp,Ost_Winddirection,Ost_Windspeed,Cloud_Cover_Mean,Temperature_Air_2m_Max_Day_Time,Temperature_Air_2m_Min_Night_Time,Wind_Speed_10m_Mean,D_NO,D_NOX,N_NO,N_NOX,Nord_Radiation,Nord_peek_wind_speed,O_NO,O_NOX,Ost_peek_wind_speed,S_NO,Sud_peek_wind_speed,W_NO,W_NOX,West_peek_wind_speed
2018-01-11,1309.0,1098.0,934.0,1444.0,1023.0,955.0,761.0,721.0,855.0,1442.0,1636.0,1054.0,521.0,1424.0,988.0,1392.0,35.73750300000001,18.592232,25.741737,2.7517536,16.985529999999994,29.997032,16.276659,27.509272,1.6020852,18.260921,24.6101,17.37167,2018,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,28.4934906,29.1113572,0,0,94.27509,5.337559,0.10111629,974.8994,94.09808,5.5369167,158.48822,0.25318608,96.07932,5.353969,155.8243,0.26411405,93.26492,5.4530807,206.86969,0.26071125,970.90814,91.4918,5.376974,190.26244,0.3193818,0.901197,279.64948,271.6433,0.94698375,55.52173913043478,67.17391304347827,3.652173913043478,16.347826086956523,15.845833333333333,1.1500000000000001,23.304347826086957,37.43478260869565,1.5791666666666666,22.347826086956523,1.1624999999999999,8.478260869565217,21.956521739130434,1.1416666666666668
2018-01-12,1348.0,1157.0,993.0,1521.0,1080.0,971.0,753.0,749.0,906.0,1544.0,1736.0,1114.0,564.0,1517.0,1052.0,1495.0,43.054813,21.700548,26.191565,10.602316,17.683062,35.623363,37.307346,32.82369,4.557478400000001,23.859034,29.217304,20.707674,2018,12,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,36.793881,37.3811684,0,0,89.87646,4.1992393,0.0,975.4329,89.762024,4.3113046,223.30975,0.37092972,90.92034,4.0883064,169.57466,0.34585097,87.59781,4.3026695,191.39293,0.28813168,971.38666,84.26828,4.29802,184.84688,0.5193227,0.970731,280.3817,272.21716,1.1090693,109.3913043478261,115.6086956521739,20.0,35.0,58.4375,2.0,32.82608695652174,45.869565217391305,1.6291666666666667,74.21739130434783,0.9916666666666667,27.217391304347824,40.608695652173914,1.6916666666666667
2018-01-13,986.0,919.0,835.0,1094.0,863.0,634.0,512.0,564.0,589.0,1154.0,1318.0,820.0,408.0,884.0,703.0,1037.0,52.395348,31.300987,36.169155,5.8638425000000005,24.451387,37.700695,31.398085,36.19458,2.2259111000000003,32.113987,35.8357,24.235155,2018,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,42.0329975,38.4204911,0,0,87.44662,3.660941,0.004107237,981.9294,84.50026,3.9038837,209.11493,0.6710701,90.16626,3.3241491,191.03546,0.27968025,78.97144,4.3486648,193.3726,0.40019616,977.9095,81.08331,3.8057165,200.86797,0.5128987,0.9767897,276.19272,273.05527,1.4895644,35.30434782608695,43.82608695652174,3.5652173913043477,12.91304347826087,11.1625,1.2916666666666667,24.043478260869566,31.652173913043477,1.6333333333333335,7.217391304347826,1.2625,5.954545454545454,15.636363636363637,1.5583333333333333
2018-01-14,824.0,683.0,631.0,840.0,652.0,451.0,428.0,405.0,421.0,875.0,1131.0,554.0,256.0,595.0,470.0,736.0,29.782032,16.205765,18.796076,6.5565367,15.898761,23.320354,16.017210000000002,20.515743,3.7678626,14.893065,20.99142,16.81115,2018,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,25.3526127,24.2836056,0,0,93.450195,2.3982043,0.06630095,984.84186,93.27564,2.6334615,138.13814,0.3975233,94.65542,2.5224187,116.811615,0.3964312,92.46459,2.620356,154.29695,0.42785367,980.966,89.72067,2.3723412,121.57932,0.617557,0.9780162,272.64737,270.71985,1.8865347,21.782608695652176,31.26086956521739,0.4782608695652174,6.130434782608695,7.729166666666667,1.5458333333333334,6.130434782608695,16.73913043478261,1.8458333333333332,4.130434782608695,1.4625000000000001,1.826086956521739,9.347826086956522,1.8791666666666667
2018-01-15,1283.0,1063.0,898.0,1418.0,1000.0,918.0,728.0,689.0,845.0,1413.0,1613.0,1051.0,508.0,1404.0,960.0,1343.0,25.693502,13.323052,9.975473,27.390497,13.054214,22.472023,13.038967,13.09314,22.658821,13.260273000000002,14.38319,14.92469,2018,15,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,37.36597,35.751961,0,0,93.514885,-0.4075167,0.111873336,984.8796,92.06432,-0.17235838,116.6101,0.4838334,94.73437,-0.2955626,77.35197,0.4663192,91.98252,-0.13800542,139.07045,0.49026486,980.8774,87.394615,-0.39757273,87.62824,0.6686253,0.92249435,272.1659,268.21036,1.6692865,40.78260869565217,54.30434782608695,2.608695652173913,12.608695652173912,7.908333333333334,1.7041666666666666,12.130434782608695,27.52173913043478,0.9833333333333334,8.173913043478262,1.25,3.217391304347826,14.869565217391305,1.4791666666666667
2018-01-16,1313.0,1095.0,908.0,1443.0,1033.0,935.0,728.0,715.0,871.0,1455.0,1655.0,1058.0,518.0,1430.0,985.0,1400.0,40.586266,18.42343,20.604809,28.627615,19.141577,34.5532,18.119871,22.354803,23.578554,17.560678,23.831896,20.787903,2018,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,49.232424,45.933357,0,0,89.256065,-2.0779495,0.0020210147,982.86786,86.38098,-1.8194531,149.72285,0.66812134,90.12296,-1.8996686,138.21141,0.36150345,86.975136,-1.9255444,181.70201,0.47556806,978.78174,83.10264,-2.0922296,167.89174,0.30674276,0.6831784,277.3057,267.92648,1.5574546,83.30434782608695,93.34782608695652,31.91304347826087,43.391304347826086,77.78333333333333,1.6958333333333335,41.869565217391305,54.73913043478261,1.6291666666666667,44.26086956521739,1.425,31.91304347826087,43.73913043478261,1.8541666666666667
2018-01-17,1331.0,1075.0,912.0,1439.0,1009.0,949.0,726.0,716.0,889.0,1426.0,1648.0,1049.0,529.0,1477.0,1000.0,1375.0,51.07535,39.32241,35.39470700000001,13.982825,35.193195,41.936943,37.658047,37.939445,8.135757,41.651344,36.71859,36.024967,2018,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,49.377532,46.075202,0,0,88.85473,-0.36749724,0.0061282516,965.6062,85.4129,0.16268474,197.77092,0.39761797,90.40768,-0.5250325,148.8507,0.35421312,84.144905,0.09966067,209.7586,0.4744831,961.3047,83.87147,-0.4869674,168.78047,0.42962453,0.7062901,279.4362,268.52478,1.6719422,87.04347826086956,97.1304347826087,9.956521739130435,21.26086956521739,53.15833333333333,2.6083333333333334,35.0,51.47826086956522,2.6083333333333334,43.95652173913044,3.625,25.347826086956523,37.52173913043478,3.795833333333333
2018-01-18,1311.0,1110.0,928.0,1501.0,1043.0,937.0,735.0,732.0,931.0,1493.0,1697.0,1071.0,545.0,1549.0,991.0,1435.0,50.153526,19.035099,23.781431,36.68028,12.543826,43.27599,31.560797,34.00278,30.219774,18.581194,30.55716,14.983471,2018,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,60.46171100000001,64.222554,0,0,71.78959,2.8541195,0.0,961.32294,75.47754,2.7695353,254.86104,0.50045747,75.85302,2.5233536,244.40639,1.1378561,68.29614,3.161936,225.69594,0.83332986,956.94965,72.586266,2.560754,214.18034,0.7096362,0.4021771,279.08902,269.56845,1.7299335,68.8695652173913,84.8695652173913,12.782608695652174,30.217391304347824,76.45,2.158333333333333,36.47826086956522,53.73913043478261,2.2416666666666667,37.17391304347826,2.65,15.73913043478261,29.782608695652176,3.1750000000000003
2018-01-19,1371.0,1169.0,983.0,1554.0,1085.0,957.0,742.0,761.0,943.0,1570.0,1757.0,1125.0,567.0,1598.0,1044.0,1508.0,57.97979399999999,24.898392,39.524548,24.599995,18.167215,49.262363,51.487198,43.22114600000001,25.609404,22.790802,35.08044,18.7978,2018,19,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,64.124543,68.83055,0,0,71.88338,1.9348348,0.0,968.9715,75.9959,1.4750681,216.77989,0.66894364,72.41503,1.7048053,220.96861,0.7996707,66.37495,2.2363715,214.60481,0.74927014,964.70526,67.61885,1.7405324,252.513,0.5655635,0.68297964,278.82822,269.6627,1.189848,111.91304347826087,126.21739130434783,9.478260869565217,25.73913043478261,31.833333333333332,2.5083333333333333,60.130434782608695,75.95652173913044,2.1083333333333334,83.73913043478261,2.1125000000000003,27.956521739130434,46.391304347826086,2.720833333333333
2018-01-20,1004.0,908.0,808.0,1191.0,861.0,618.0,502.0,567.0,658.0,1176.0,1371.0,829.0,438.0,1052.0,720.0,1087.0,69.71568,25.066078,34.92685,24.817108,13.527897,54.203415,28.023940000000003,53.63862,9.002428,26.706469,46.64203,19.204853,2018,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,59.743958000000006,62.64104800000001,0,0,80.83671,2.7961233,0.0037812789,968.97797,76.121635,2.8515794,220.70702,0.5933682,83.34461,2.1973693,204.54399,0.56803435,74.83163,3.2049959,163.1533,0.5365143,964.71704,72.93123,2.5108848,160.16367,0.41373947,0.7307236,278.6215,267.8885,1.4573498,92.54545454545455,106.72727272727273,13.130434782608695,31.304347826086957,98.37083333333334,1.8583333333333334,50.34782608695652,68.0,1.3458333333333332,68.52173913043478,1.0833333333333333,23.91304347826087,43.78260869565217,1.4625000000000001
