,8010_003||Keplerbrücke,8010_208||Glacis,8020_110||Kärntner Straße Q2,8020_119||Rösselmühlgasse,8020_122||Karlauergürtel,8053_111||Kärntner Straße Q3,8010_202|Nord|K. Franz Josefs- Kai,8010_205||Grabengürtel,8010_205|Ost|Grabengürtel,8010_205|West|Grabengürtel,8010_209||Elisabethstraße,8010_209|Ost|Elisabethstraße,8010_209|West|Elisabethstraße,8010_213|Ost|Grazbachgasse,8010_214||C.v. Hötzendorf-Straße,8010_214|Nord|C.v. Hötzendorf-Straße,8010_214|Süd|C.v. Hötzendorf-Straße,8020_102||Wiener Straße (südl.),8020_102|Nord|Wiener Straße (südl.),8020_102|Süd|Wiener Straße (südl.),8020_103||Bahnhofgürtel,8020_103|Nord|Bahnhofgürtel,8020_103|Süd|Bahnhofgürtel,8020_107||Triester Straße (nördl.),8020_107|Nord|Triester Straße (nördl.),8020_107|Süd|Triester Straße (nördl.),8041_218||Liebenauer Hauptstraße,8041_218|Nord|Liebenauer Hauptstraße,8041_218|Süd|Liebenauer Hauptstraße,8041_221||Liebenauer Tangente,8041_221|Ost|Liebenauer Tangente,8041_221|West|Liebenauer Tangente,8045_203||Grabenstraße,8045_203|Nord|Grabenstraße,8045_203|Süd|Grabenstraße,8051_101||Wiener Straße (nördl.),8051_101|Nord|Wiener Straße (nördl.),8051_101|Süd|Wiener Straße (nördl.),Incoming home,Outgoing home,Incoming mobile,Outgoing mobile,Graz-DB (LUFE),Graz-DB (LUTE),Graz-DB (NO),Graz-DB (NO2),Graz-DB (NOX),Graz-DB (PM10),Graz-DB (SO2),Graz-DB (STBK 10K),Graz-N (LUFE),Graz-N (LUTE),Graz-N (NO),Graz-N (NO2),Graz-N (NOX),Graz-N (PM10),Graz-N (SO2),Graz-N (STBK 10K),Graz-O P (LUFE),Graz-O P (LUTE),Graz-O P (NO),Graz-O P (NO2),Graz-O P (NOX),Graz-O P (PM10),Graz-O P (STBK 10K),Graz-S (LUFE),Graz-S (LUTE),Graz-S (NO),Graz-S (NO2),Graz-S (NOX),Graz-S (PM10),Graz-S (SO2),Graz-S (STBK 10K),Graz-W (LUFE),Graz-W (LUTE),Graz-W (NO),Graz-W (NO2),Graz-W (NOX),Graz-W (PM10),Graz-W (STBK 10K),Graz-W (SO2),Graz-N (O3),Graz-S (O3),Dew_Point_Temperature_2m_Mean,Vapour_Pressure_Mean,Solar_Radiation_Flux,Cloud_Cover_Mean,Temperature_Air_2m_Max_Day_Time,Temperature_Air_2m_Min_Night_Time,Wind_Speed_10m_Mean
2018-01-01,704.0552486187845,1020.4,1037.3268292682926,472.86341463414635,1301.7121951219513,968.2536585365854,371.1933701657459,715.229268292683,396.67980295566497,321.14146341463413,657.0975609756098,286.6,370.06341463414634,632.4585365853659,746.1302083333335,355.97837837837835,411.13829787234044,1334.4536585365856,673.2439024390244,660.780487804878,1537.0536585365853,796.6195121951221,739.8975609756097,997.45,550.135,442.97044334975374,500.7828282828283,215.70103092783503,234.93827160493828,1216.734375,594.2447916666666,621.9375,1038.8692810457517,511.64052287581706,526.7516339869281,1275.3951219512194,584.3578431372549,699.9170731707318,1511.0,1271.0,1588.0,1717.0,84.52776999999998,2.261216,99.827774,53.747383,108.16503999999999,52.81003000000001,2.2490732999999996,40.440525,81.74543,2.9129248,26.35679600000001,37.721096,40.864967,,3.3016706,31.846771,75.07411,2.2340999,72.6484,46.23022,82.43746999999998,35.10999,36.244366,83.74073,1.8091244999999998,79.3183,38.889137,83.921165,51.729984,3.0252318,46.11469,81.77561,2.5538836,45.604565,41.510128,58.28151,34.562756,34.562756,,7.036987,5.1240497000000005,273.05627000000004,6.1410503,1809619.6,0.8932962999999999,278.74033,270.52847,1.6232057
2018-01-02,710.7900552486187,1037.5414634146339,1061.3529411764703,478.89705882352933,1311.406862745098,981.563725490196,378.414364640884,727.1804878048779,403.2167487684729,326.619512195122,665.8048780487803,290.38536585365847,374.8731707317073,648.5637254901961,753.3937823834196,359.31891891891894,417.1957671957672,1353.3627450980389,680.8039215686274,672.0735294117648,1554.0292682926831,803.5512195121951,750.1609756097562,992.4292929292931,552.8071065989849,439.2089552238806,506.01522842639605,211.23469387755105,233.0975609756097,1243.2105263157896,614.7473684210528,628.0315789473684,1046.326797385621,516.7712418300654,529.0718954248366,1298.4975609756098,595.6487804878049,709.8,16752.0,14988.0,18735.0,21313.0,88.605225,2.9866952999999996,81.439316,51.77644,92.387886,89.870056,1.9636567999999999,77.87716,80.83298,4.5682917000000005,7.682952999999999,29.58132,21.633894,,4.542015,29.024566999999998,78.72600600000001,3.4979190000000004,39.721107,43.595608,54.654644,36.35999,39.270804999999996,90.8768,2.1037004,60.362366,33.764664,66.079124,97.03,2.6930669999999997,100.739174,82.241425,4.0998774,24.01512300000001,34.154236,37.121887,77.95893000000002,77.95893000000002,,18.24483,5.453191,271.66745,5.537943,3857375.8,0.50334483,279.71332,269.62915,1.5431632
2018-01-03,722.0666666666667,1062.6,1069.75,480.60784313725486,1323.2892156862745,993.3529411764706,384.03333333333336,734.6585365853657,409.3399014778325,329.03902439024387,679.3853658536585,296.07804878048785,382.77073170731705,659.6470588235294,766.5,363.2,427.1176470588235,1375.3891625615765,691.2463054187192,683.6502463054188,1566.3902439024394,807.4585365853659,758.3951219512195,1002.5505050505052,558.2131979695431,443.30348258706476,514.6565656565657,220.30208333333331,237.0,1265.6596858638745,626.9214659685864,638.2303664921466,1076.525974025974,531.8636363636364,544.2207792207794,1324.4439024390244,610.8578431372549,724.1024390243903,24552.0,22008.0,27510.0,31342.0,94.942635,0.9925058000000001,119.38062,59.539680000000004,126.874626,32.319984000000005,1.8474181,24.420555,95.09658,1.4576257,64.09285,42.818157,73.79312,,1.942693,20.965742000000002,90.08023,1.2342271,77.64136500000002,45.55858,86.09125,21.81,20.557222,99.231316,0.6450595,105.9697,48.26708,110.20289,30.140013,2.9437528,28.728417999999998,94.90274000000001,1.4288133,59.783474,44.639637,71.287704,22.641233,22.641233,,7.115455,0.814389,270.51633,5.0444665,4020596.8,0.7433143,278.92648,269.39212000000003,1.7141474
2018-01-04,724.6759776536313,1055.590243902439,1074.4803921568628,485.77073170731705,1323.9656862745098,993.6764705882354,385.4972067039106,725.2341463414633,403.09359605911334,324.64878048780486,670.9268292682926,292.23414634146343,378.20975609756096,659.4803921568628,770.203125,363.6918918918919,430.4491978609625,1371.4532019704436,685.9261083743843,685.0640394088671,1573.9121951219513,808.1268292682927,765.1951219512197,1008.7806122448981,559.4183673469388,443.96,508.1055276381909,217.3762376237624,238.24691358024688,1241.8020833333333,617.3333333333334,623.8229166666666,1069.5844155844156,530.5974025974026,538.5584415584416,1328.360975609756,605.4019607843137,727.4536585365854,25212.0,22602.0,28252.0,32191.0,86.232506,0.7898111,110.33646,63.536797,121.71205,32.280018,1.9235238000000001,26.73265300000001,85.83533,1.0328195,16.783651000000006,40.65909600000001,34.724540000000005,,1.4576694,18.95001,79.68139000000002,0.95550424,50.927315,48.95136,66.44238,20.849989,23.866076,89.557365,0.20750041,105.54438,48.392567,109.94046999999999,32.209990000000005,2.9535327000000002,32.35178,82.67744,1.2610344,30.01607700000001,46.37384,48.324535,18.996656,18.996656,,10.103297,2.9528244,271.86922999999996,5.608489499999999,3475125.5,0.7251151,278.94653,268.99817,1.5692042
2018-01-05,746.5222222222222,1074.4634146341464,1109.5098039215686,506.07804878048785,1361.2146341463415,1017.609756097561,402.1277777777778,732.2439024390244,408.79310344827593,326.10731707317075,671.209756097561,291.0536585365854,379.7268292682927,677.3560975609756,804.0680628272252,379.0543478260869,445.4095744680851,1424.7598039215686,716.6078431372549,707.6225490196077,1616.7560975609756,827.7853658536584,788.5024390243902,1044.111111111111,579.7171717171718,458.6534653465346,532.5075376884422,233.75,254.1375,1295.303664921466,652.265625,643.9166666666666,1098.2922077922078,550.9155844155844,546.8961038961039,1384.351219512195,628.2487804878049,757.3365853658537,20912.0,18732.0,23415.0,26662.0,87.93966,0.8110221,184.35487,75.50258000000002,187.328,48.770016,2.8530626,33.555813,87.42727,0.97164494,55.757412,48.829678,70.25139,,1.7637346,22.728468,77.760704,1.0608093,89.306854,54.156856999999995,99.942986,32.88,37.277836,90.27833000000001,0.16630574,168.14597,58.238136,165.32973,44.540012,4.449859,42.021458,84.22993000000002,1.2372929,78.49986,56.0334,92.25673,27.609415000000002,27.609415000000002,,2.5771222000000003,0.47931907,273.97586,6.598737700000001,4648200.5,0.6287602,282.6898,271.7087,1.5295163
2018-01-06,573.3277777777778,794.8146341463415,866.5196078431372,427.81951219512194,1051.1024390243902,813.1170731707318,300.45,488.15609756097564,280.9458128078818,208.8390243902439,466.00975609756097,200.99024390243903,264.51219512195115,503.4,593.2198952879581,287.9782608695652,322.0695187165776,1103.0634146341465,553.6,549.5512195121951,1288.9219512195125,640.6292682926829,647.8585365853659,773.8282828282828,443.32323232323233,326.26732673267327,390.06565656565664,177.01020408163262,194.0125,852.796875,421.53125,434.75520833333326,788.0909090909091,398.8181818181818,388.7597402597403,1027.4585365853661,451.83333333333326,578.9121951219512,5976.0,5289.0,6611.0,7458.0,87.38686,3.38703,238.40079,78.56218,232.26814,60.10001800000001,4.0010448,48.1978,83.93566,4.5611562999999995,68.565636,46.381115,79.24306999999997,,3.4052782,26.745321,80.16566,3.2938967000000003,132.21007,55.928284,135.27348,32.81002,32.631527,89.658485,2.5983856,223.75374,59.77144200000001,210.70314,56.449978,5.9435806,56.480880000000006,85.10497,3.7366855,116.30157,56.54643000000001,122.83951,34.569835999999995,34.569835999999995,,7.104703999999999,1.0363154,275.27643,7.2951690000000005,3756985.5,0.6708198000000001,282.85422,272.07578,1.5306776000000002
2018-01-07,463.6723163841808,691.2238805970151,674.34,336.745,823.3781094527362,631.5373134328357,186.01129943502826,388.6218905472637,225.2713567839196,164.45771144278606,406.5074626865672,180.23880597014926,225.8009950248756,385.7363184079602,435.5322580645162,223.30508474576268,226.15300546448086,870.2039800995026,432.01990049751237,438.23880597014926,1127.0149253731342,580.2487562189054,546.223880597015,577.6443298969073,328.22680412371136,245.72222222222226,256.95360824742266,119.83333333333331,131.53846153846158,634.5775401069519,290.50267379679144,343.5989304812834,588.2733333333333,286.61333333333334,301.20666666666665,768.7810945273633,356.19,416.22388059701484,785.0,617.0,771.0,784.0,86.52905,4.882225,57.66735500000001,40.92289,67.64909,20.369997,2.2308657000000003,17.389495999999998,85.33846,4.5467114,13.09828,26.465763,24.346332999999998,,2.4214795,12.135117,80.50675,4.857566,39.1335,34.799126,49.582924,16.080002,15.669314000000002,86.65073000000002,4.309671,40.669018,28.386653999999997,47.470974,18.210005,2.099553,19.508670000000002,83.8077,4.7047524,27.17708,30.2654,37.622707,17.143396,17.143396,,4.7382054,4.051973,274.72412,6.944947999999999,4187808.8,0.8946835999999999,282.55496,272.86777,0.9421664
2018-01-08,704.0552486187845,1020.4,1037.3268292682926,472.86341463414635,1301.7121951219513,968.2536585365854,371.1933701657459,715.229268292683,396.67980295566497,321.14146341463413,657.0975609756098,286.6,370.06341463414634,632.4585365853659,746.1302083333335,355.97837837837835,411.13829787234044,1334.4536585365856,673.2439024390244,660.780487804878,1537.0536585365853,796.6195121951221,739.8975609756097,997.45,550.135,442.97044334975374,500.7828282828283,215.70103092783503,234.93827160493828,1216.734375,594.2447916666666,621.9375,1038.8692810457517,511.64052287581706,526.7516339869281,1275.3951219512194,584.3578431372549,699.9170731707318,21790.0,19522.0,24402.0,27790.0,86.72281,4.848231,59.296673,41.604073,69.31097,25.27001,2.0906696,19.520229999999998,82.82358,5.022737,12.409974,24.9878,23.021334,,2.6273397999999997,14.620944,79.59252,4.746762,25.845148000000002,28.300539,35.527752,17.270006,16.271273,86.03567,4.480432,27.492171999999997,27.62973,36.504073999999996,18.739994,1.7494493999999998,17.910118,84.80332,4.5380483,23.761353,27.941491999999997,33.667809999999996,17.108725,17.108725,,11.15729,6.858612,276.16677999999996,7.702775,4434629.5,0.92821664,283.35135,275.02487,0.94366103
2018-01-09,710.7900552486187,1037.5414634146339,1061.3529411764703,478.89705882352933,1311.406862745098,981.563725490196,378.414364640884,727.1804878048779,403.2167487684729,326.619512195122,665.8048780487803,290.38536585365847,374.8731707317073,648.5637254901961,753.3937823834196,359.31891891891894,417.1957671957672,1353.3627450980389,680.8039215686274,672.0735294117648,1554.0292682926831,803.5512195121951,750.1609756097562,992.4292929292931,552.8071065989849,439.2089552238806,506.01522842639605,211.23469387755105,233.0975609756097,1243.2105263157896,614.7473684210528,628.0315789473684,1046.326797385621,516.7712418300654,529.0718954248366,1298.4975609756098,595.6487804878049,709.8,21346.0,19122.0,23903.0,27220.0,90.95294,5.4084487,107.15377,44.7359,109.326324,34.849987,3.5720618,29.215508000000003,87.20008,5.4891944000000015,43.350033,30.431715000000004,50.679959999999994,,5.644352,24.825022,87.646484,5.327275299999998,58.205814000000004,34.32931,64.63126,27.030015999999996,26.894705,93.19507,5.272313,54.815376,29.791168,59.510372,28.52001,2.0032072,29.829687,87.10435,5.6353555,54.843433,33.42887,61.46311600000001,26.754644,26.754644,,1.9196113000000001,1.6834054,277.30496,8.358276,1269258.9,0.9844872,279.17847,275.65012,1.355612
2018-01-10,722.0666666666667,1062.6,1069.75,480.60784313725486,1323.2892156862745,993.3529411764706,384.03333333333336,734.6585365853657,409.3399014778325,329.03902439024387,679.3853658536585,296.07804878048785,382.77073170731705,659.6470588235294,766.5,363.2,427.1176470588235,1375.3891625615765,691.2463054187192,683.6502463054188,1566.3902439024394,807.4585365853659,758.3951219512195,1002.5505050505052,558.2131979695431,443.30348258706476,514.6565656565657,220.30208333333331,237.0,1265.6596858638745,626.9214659685864,638.2303664921466,1076.525974025974,531.8636363636364,544.2207792207794,1324.4439024390244,610.8578431372549,724.1024390243903,21668.0,19412.0,24266.0,27634.0,95.52423,5.365762999999999,60.167023,35.71924600000001,66.93069,31.479988,1.5113316,25.165619,95.85849,5.550987,5.446936599999999,21.732853,15.733571,,1.4970928,24.399015,93.13502,5.478882,33.435352,25.594566,40.198406,22.380003,20.953757999999997,97.770226,5.4045510000000005,22.478695000000002,25.998627,31.636164,23.189997,1.1090145,23.443995,95.631035,5.540966,11.503972000000001,24.872938,22.234484,25.582697,25.582697,,5.1733007,1.3046026000000002,276.0118,7.6294494,2275170.8,0.9042379,280.25742,275.52444,0.8647798000000001
