,D_NO2,N_NO2,O_NO2,S_NO2,W_NO2,D_PM10K,N_PM10K,O_PM10K,S_PM10K,W_PM10K,N_O3,S_O3,N_Ox,S_Ox
RMSE,7.584696173054486,6.229241135024847,8.331459910778005,7.4046999811370355,6.978747579218771,12.156254778330641,9.654714089381708,11.752047136026649,12.609013906446902,11.221872456412179,13.389566104399263,11.401200293681425,11.540400567218883,11.54872373613768
MAE,5.996124423419734,4.824165995707551,6.7899301702181,5.872394170872756,5.388518496245038,8.960892352946528,7.09292034457822,8.84225469316698,9.438890610514578,8.214191005446782,11.055776606454994,9.13547277699268,9.557594936295517,9.166014761903725
RMSE_1,7.613479161135978,6.174187830449657,8.384975779036681,7.378246804021931,6.939173228342995,12.14739273606009,9.672396464748925,11.706910767103693,12.575773323448944,11.237078033548357,13.317629167752848,11.437780246201976,11.523130103386741,11.666102246830075
MAE_1,5.971298957901505,4.826434539779316,6.80000148968958,5.86081898915247,5.369536621608343,8.942937749655181,7.105629631334568,8.817160820370658,9.448552516031377,8.248491121540829,10.97889825041923,9.083753444401285,9.522648984228574,9.182676633932484
