,D_PM10K_mean_nn_PRED_random_state_1,D_PM10K_mean,D_PM10K_mean_nn_PRED_random_state_2,D_PM10K_mean_nn_PRED_random_state_3,D_PM10K_mean_nn_PRED_random_state_4,D_PM10K_mean_nn_PRED_random_state_5,D_PM10K_mean_rf_PRED_random_state_1,D_PM10K_mean,D_PM10K_mean_rf_PRED_random_state_2,D_PM10K_mean_rf_PRED_random_state_3,D_PM10K_mean_rf_PRED_random_state_4,D_PM10K_mean_rf_PRED_random_state_5,N_PM10K_mean_nn_PRED_random_state_1,N_PM10K_mean,N_PM10K_mean_nn_PRED_random_state_2,N_PM10K_mean_nn_PRED_random_state_3,N_PM10K_mean_nn_PRED_random_state_4,N_PM10K_mean_nn_PRED_random_state_5,N_PM10K_mean_rf_PRED_random_state_1,N_PM10K_mean,N_PM10K_mean_rf_PRED_random_state_2,N_PM10K_mean_rf_PRED_random_state_3,N_PM10K_mean_rf_PRED_random_state_4,N_PM10K_mean_rf_PRED_random_state_5,O_PM10K_mean_nn_PRED_random_state_1,O_PM10K_mean,O_PM10K_mean_nn_PRED_random_state_2,O_PM10K_mean_nn_PRED_random_state_3,O_PM10K_mean_nn_PRED_random_state_4,O_PM10K_mean_nn_PRED_random_state_5,O_PM10K_mean_rf_PRED_random_state_1,O_PM10K_mean,O_PM10K_mean_rf_PRED_random_state_2,O_PM10K_mean_rf_PRED_random_state_3,O_PM10K_mean_rf_PRED_random_state_4,O_PM10K_mean_rf_PRED_random_state_5,S_PM10K_mean_nn_PRED_random_state_1,S_PM10K_mean,S_PM10K_mean_nn_PRED_random_state_2,S_PM10K_mean_nn_PRED_random_state_3,S_PM10K_mean_nn_PRED_random_state_4,S_PM10K_mean_nn_PRED_random_state_5,S_PM10K_mean_rf_PRED_random_state_1,S_PM10K_mean,S_PM10K_mean_rf_PRED_random_state_2,S_PM10K_mean_rf_PRED_random_state_3,S_PM10K_mean_rf_PRED_random_state_4,S_PM10K_mean_rf_PRED_random_state_5,W_PM10K_mean_nn_PRED_random_state_1,W_PM10K_mean,W_PM10K_mean_nn_PRED_random_state_2,W_PM10K_mean_nn_PRED_random_state_3,W_PM10K_mean_nn_PRED_random_state_4,W_PM10K_mean_nn_PRED_random_state_5,W_PM10K_mean_rf_PRED_random_state_1,W_PM10K_mean,W_PM10K_mean_rf_PRED_random_state_2,W_PM10K_mean_rf_PRED_random_state_3,W_PM10K_mean_rf_PRED_random_state_4,W_PM10K_mean_rf_PRED_random_state_5
2020-01-03,36.07519879778185,51.0625,37.05861346527782,33.87721726359349,38.439663227766545,36.4941302686992,42.565643948412706,51.0625,42.79820513101072,43.51565802744708,44.485799656246506,41.74853181089744,25.811443059260405,33.487500000000004,25.077153547541588,22.96804188464565,26.343471667784474,24.6276303187307,35.48020688131314,33.487500000000004,34.78091299603176,32.01323293650793,33.63950581709956,33.3195750901876,37.051913009680206,36.85416666666666,35.433555948881164,36.70584043428072,35.8909454174071,35.32521312623011,39.704040889944906,36.85416666666666,39.38674817416174,38.724536556895465,40.01751345820013,39.508297127157746,38.490100257023734,57.458333333333336,41.960174523474436,40.2548602995926,35.17546386217315,39.83317577190056,46.814678494769126,57.458333333333336,45.98246220705544,44.653466585497874,48.458612772065905,46.505367159692156,28.673258436684673,37.87083333333333,27.32185936304373,29.996070958769433,32.41097133059137,29.80087461182862,42.183636723856196,37.87083333333333,37.98001208207642,40.39696725427351,37.89566813306519,37.46282013888888
2020-01-04,30.31702765033752,43.0375,32.648596425051906,29.952787608235116,35.12328351801868,31.1995211721089,35.94675071386945,43.0375,33.61799002374938,35.430710050655364,35.44459807102619,33.503485780423304,24.491291700560446,29.391666666666666,25.024640919894484,22.415994915219162,26.54276486662607,23.590577858647578,23.84658497094693,29.391666666666666,22.54280489718613,24.270033454106287,23.096130269961524,22.77134751497822,34.741855001350594,36.50833333333333,32.958467947347486,33.475368609222684,35.90666104848546,34.77517088929492,36.06426094802188,36.50833333333333,34.710239509680136,33.59242665419071,35.46763309910699,33.81890172068262,33.144318511774316,52.2875,36.18386968967032,34.45203268614784,32.316569283088526,34.46476678128076,40.56881614600675,52.2875,38.858700317880285,38.76968704848394,39.30891332038909,37.948067346039636,26.00463778736306,39.00416666666667,24.283122042860334,26.62981249188891,28.735069936056657,27.15584583291586,28.147289796352762,39.00416666666667,28.7138383402705,29.502315883629713,24.845475203666428,25.606943156108596
2020-01-05,30.164755872817143,16.054166666666667,32.80183171994219,31.40124109066611,34.14444090834255,32.50797615172553,28.30746493957432,16.054166666666667,26.036748780212847,26.877797055375186,27.398503070887465,26.93856673994408,21.860053644185484,7.3625,24.83676659634114,20.89881853235913,25.428556372361182,22.699107235526284,18.886893750000002,7.3625,19.910037974465144,18.45866029040404,18.403916666666667,18.7642158459596,32.48240781233598,16.391666666666666,31.34335965190888,33.62148094160344,34.03081796872115,34.06869271412616,27.890805318126926,16.391666666666666,26.422680831804065,28.5595775732872,29.14171428002854,28.657190591948428,31.447301994971802,13.620833333333335,36.53138206707607,34.738270364332365,32.48500984766031,33.91505730454463,32.722696235452375,13.620833333333335,31.3031693625029,29.51991837032985,30.75469456384498,30.016645050465826,25.198579637057847,12.325,22.319398956124815,23.825955855728225,26.760646345068164,25.47134232672599,22.728905963244983,12.325,21.29655053751248,22.338001118044005,19.536461096831555,21.666673486040814
2020-01-06,38.617077304297226,28.991666666666664,39.180185933723415,38.18765022386847,42.24433899406027,41.85789514405234,40.789753733766204,28.991666666666664,38.74355972222222,39.47516751893939,39.90290555555554,38.221869128787894,26.78627371378772,20.25,28.352903576874663,21.975629949285853,27.916772612806305,27.615062925628763,35.84408188131314,20.25,35.3177199404762,32.93953035714284,35.0868945436508,33.7907746933622,36.30556237100536,30.554166666666664,35.99396071402672,33.27403371267271,35.56976736654697,34.31807118672601,40.28742247340771,30.554166666666664,38.79715910669193,38.645454010602926,38.87480611922797,40.58998741170766,40.22392553971058,31.73333333333333,49.152557629738816,44.698356389289266,34.616219183928216,41.18494833042833,44.93582680610452,31.73333333333333,44.614456828376944,43.30079049873737,43.873966315327195,43.71726512896826,33.984474112409345,25.129166666666663,25.475942695720036,38.779619043478185,32.20315955876126,34.66580698247338,40.5105319461584,25.129166666666663,38.81840855329312,39.95145555555557,37.015549578934134,36.826766407203905
2020-01-07,40.76979793903614,53.9,41.275248968125,40.37221277307443,41.07339944541965,41.37341611386751,46.568078012265495,53.9,45.25029834280301,43.95660979470387,43.13577211070181,45.64142838654404,29.075391906772055,36.19583333333333,29.118268895677115,24.22615148295359,26.035473312763216,27.074263275619845,35.300871067821056,36.19583333333333,36.232588492063506,33.469475234487724,34.86825905483406,37.090197709235206,44.63782183351898,53.5125,44.256479673448716,43.32092424738831,43.85359516850339,41.621593804661615,48.31153178439665,53.5125,47.75630840404861,46.49668396079059,46.47259845952406,47.58238284335934,39.93071137236919,58.19583333333333,39.64898575184065,42.511287817047965,41.06556205455024,42.33218624403577,48.87233640422077,58.19583333333333,46.57653601030532,47.40879965277779,46.672873668981495,47.918898295454525,32.46618025243813,44.45454545454545,30.79666134453381,31.718809931694388,31.958120259799873,30.75596555974502,43.280962581699335,44.45454545454545,41.30401365950227,42.39863125000001,40.666251543384455,41.53451822344323
2020-01-08,38.69238990492609,46.2695652173913,40.38919857280316,38.45015881289178,43.0340330799596,41.86134322985641,38.517639774981966,46.2695652173913,39.2277564612777,39.25838304017946,39.693471694247336,39.52773633831444,27.69753312880918,35.18333333333333,26.601981569132615,25.629708227923576,26.297711582456657,24.236034555435303,27.170402020202033,35.18333333333333,27.024069146825404,27.83978356782105,29.35584569805194,28.195498611111113,43.72373284925734,46.52916666666667,41.20443742605567,40.78630784833521,41.688920940643,39.511779865961756,39.36108123509427,46.52916666666667,40.62182900956026,40.07851512799726,40.788265011033,39.87487912434232,39.46250648869976,58.22916666666666,40.59041941107228,40.930716953661815,39.72525723025662,40.67050788241346,40.940514633732285,58.22916666666666,40.62250065005012,41.084080460858594,43.59252766468386,41.34122977017193,31.066100424584416,43.82916666666667,28.615301715476086,30.773607554040566,30.912819660960782,30.86489360057857,33.25465988767022,43.82916666666667,32.34197399884146,31.728140859548958,34.98463603997712,31.073040218074425
2020-01-09,39.42740722638969,67.96249999999999,38.75822055140536,37.31367766043972,41.817726489780554,40.049737267816745,40.279521241085334,67.96249999999999,40.48434179862028,40.413457016174554,40.35931895705396,39.76519616124614,28.21558722749542,48.12083333333334,27.5058065369119,23.766034084649156,25.536274095694353,24.82273929357381,29.49203614718616,48.12083333333334,30.102145436507936,30.206038428932175,30.175325892857142,29.397298710317468,42.565682406960825,73.75833333333334,41.203944625148026,41.158194393715945,41.27949267543087,40.093423564597344,40.322786629047386,73.75833333333334,40.049697878443745,39.078962158538175,40.97039308200815,39.11876918024852,38.09881531408,64.4375,39.35830453968034,39.59784365905929,40.13458173574477,39.16810265629013,40.566652002208706,64.4375,40.85880200531578,40.43384494047621,42.564944437909126,39.7270400831229,29.8827850328587,57.53333333333333,31.19292339808748,32.15980867841491,31.48617256419077,30.31432463911398,34.911732900254584,57.53333333333333,35.40114018665159,34.31188616183654,36.08514559880064,33.16762200622446
2020-01-10,37.124813307206836,52.40416666666667,38.20430886628687,36.31890956264977,38.21858197715685,37.40199661816309,35.04282391469324,52.40416666666667,34.44547191942541,34.41226268048944,33.9795161649965,34.29644559607059,22.758237909819343,42.30833333333333,23.60171518672468,22.762501477828494,21.95027616042909,23.200043278859447,20.77394026947778,42.30833333333333,22.810388923382376,20.21244685957159,20.4992731592713,21.973786211820585,38.9935798467498,51.10416666666666,37.211281828223086,37.1124474754948,37.056606428853094,34.98822791894417,38.048990045478966,51.10416666666666,37.423477782166884,38.11827192326339,39.61344915344175,37.94605707394208,38.1376558772369,63.958333333333336,38.650462709815265,39.11456096645043,35.3463849839468,38.684010774644406,35.41796752888463,63.958333333333336,35.59220680786925,33.45267211873523,37.388405970788135,36.78486336293538,28.67182759459691,44.2875,27.617686959794625,27.96642942895098,31.021527054867175,28.946495682716623,24.756662362672937,44.2875,23.36373934077033,25.007677983194515,24.717647736496453,23.464247885090675
2020-01-11,32.55928823203215,42.15416666666667,34.84780819101462,33.07503485859383,37.52401641626204,34.65160112263915,35.293493301316744,42.15416666666667,35.22839564252468,34.93559260536915,35.30645648035245,35.031701332001326,26.51648792203962,26.558333333333334,27.215717237981092,22.78016332825912,25.23402386786523,23.609024676600068,25.398484195072243,26.558333333333334,24.20991817580567,24.306055493600606,25.699780530303023,24.685342449441908,38.4510599704017,41.375,35.242476317036356,35.078714235556504,38.01938598487042,36.22936941898679,38.74674830078428,41.375,36.78688556260065,37.13479474957914,38.71537192230891,37.15283216418693,36.462618817046064,51.21666666666667,37.958065862846816,36.66535462454467,35.3427391783275,37.006231554570455,41.23352131053178,51.21666666666667,41.14509653519709,39.94918691620879,40.21397126847966,40.83876854395605,27.867403821408818,33.5,26.895347557386494,28.379612916376196,29.67236341998024,28.50120721503867,29.141333262730086,33.5,27.6974807500515,29.526419001059676,26.700341147201485,28.58347302093331
2020-01-12,33.67819765418597,29.2125,36.12361267572939,34.46938096432942,37.667158258360615,36.6572152872282,38.179979577020156,29.2125,37.35772420183982,38.253936730399225,36.33065958243148,37.09133021284272,28.142918909980533,22.9125,28.766405904207563,23.833868384301695,26.507899532211894,26.462096441941945,29.54909785353535,22.9125,32.51831574074074,29.992855357142854,30.268280492424232,29.67408731060608,38.66189053706152,28.695833333333336,35.89489134245873,37.630306417021856,38.87501199532158,37.34471087902004,39.66648912906236,28.695833333333336,39.29305280483405,38.29447552995945,39.996118928436935,36.78629659755449,36.38058013800991,35.24583333333333,38.39742321373978,37.61876800202197,35.95420687514701,36.817595089543886,44.02134201760249,35.24583333333333,43.33275868055554,43.29777457070404,43.296928845749164,41.06130031565658,27.767855278381738,27.05,26.70449075345029,28.55661901316151,28.837957005452573,28.71387612481952,34.87726039467068,27.05,33.48209348693631,34.467082280668684,32.97697633827083,31.555979896247532
