,D_NO2,N_NO2,O_NO2,S_NO2,W_NO2,D_PM10K,N_PM10K,O_PM10K,S_PM10K,W_PM10K,N_O3,S_O3,N_Ox,S_Ox
RMSE,8.027892703801125,5.874271674108676,6.560678657818273,6.225203134061659,7.053953409221428,7.594766278666889,6.389451294224315,6.163000071740247,7.854848466159284,7.7643399297585205,12.84323698517447,12.928633716360329,11.65259489067927,10.831031707567197
MAE,6.561219015640162,4.452170516905845,5.27811320716042,4.605242888613825,5.407383155438559,6.474383920244228,5.18547471590333,4.9278656448990095,6.6241683176350294,6.553913100258193,10.712651378982068,10.708304039880113,9.62065279201966,8.960655536284136
RMSE_1,9.337315438942289,5.932565838895041,6.970772960029236,7.2981889942026985,7.1627516430453335,7.664904258663236,6.667230235946797,6.512492878605342,8.06952886327758,7.9208637510758715,12.930129454127277,13.043890446796174,11.746605943054954,11.098514176646235
MAE_1,6.8138217493826545,4.38626407068251,5.2466297677310125,5.045315027847149,5.396579222156723,6.512393166459656,5.439103079730778,5.263034951887584,6.865375827029661,6.757316272748054,10.646067900280842,10.87220530511733,9.63077780317396,9.090836214229663
